"n","p1","maxc1","maxc2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.1,0.1,-0.5,0,0,0,0.007981,3.2e-05,0,0.007981,3.2e-05,0,6.4e-05,0,0,0,0,"dir",0,0,0
100,0.25,0.1,0.1,-0.5,0.05,0.032774,0.03272,0.040701,0.011168,-5.4e-05,0.007927,-0.021605,0.000288,0.000354,0.000619,0.000288,0.000292,0.000152,"dir",-5.4e-05,0.000288,0.000288
100,0.25,0.1,0.1,-0.5,0.1,0.114265,0.11522,0.123201,0.077186,0.000955,0.008936,-0.037079,0.001021,0.001108,0.002368,0.001022,0.00103,0.000996,"dir",0.000955,0.001021,0.001022
100,0.25,0.1,0.1,-0.5,0.15,0.223516,0.22298,0.230961,0.187954,-0.000536,0.007446,-0.035562,0.001555,0.001618,0.003459,0.001558,0.001566,0.002199,"dir",-0.000536,0.001555,0.001558
100,0.25,0.1,0.1,-0.5,0.2,0.34464,0.34468,0.352661,0.317013,4e-05,0.008021,-0.027627,0.001903,0.00197,0.003774,0.001907,0.001909,0.003017,"dir",4e-05,0.001903,0.001907
100,0.25,0.1,0.1,-0.5,0.25,0.466064,0.46588,0.473861,0.446365,-0.000184,0.007797,-0.019699,0.002488,0.002544,0.003592,0.002493,0.002488,0.003211,"dir",-0.000184,0.002488,0.002493
100,0.25,0.1,0.1,-0.5,0.3,0.579825,0.57586,0.583841,0.565727,-0.003965,0.004016,-0.014098,0.002426,0.002416,0.00321,0.002415,0.002404,0.003018,"dir",-0.003965,0.002426,0.002415
100,0.25,0.1,0.1,-0.5,0.35,0.68092,0.67628,0.684261,0.671361,-0.00464,0.003341,-0.009559,0.002187,0.002157,0.002732,0.00217,0.00215,0.002646,"dir",-0.00464,0.002187,0.00217
100,0.25,0.1,0.1,-0.5,0.4,0.76672,0.76418,0.772161,0.762177,-0.00254,0.005441,-0.004543,0.001758,0.001757,0.002111,0.001755,0.001731,0.002094,"dir",-0.00254,0.001758,0.001755
100,0.25,0.1,0.1,-0.5,0.45,0.836433,0.83642,0.844401,0.834894,-1.3e-05,0.007969,-0.001539,0.001331,0.00137,0.001589,0.001334,0.001309,0.00159,"dir",-1.3e-05,0.001331,0.001334
100,0.25,0.1,0.1,-0.5,0.5,0.890625,0.89026,0.898241,0.889221,-0.000365,0.007616,-0.001404,0.000978,0.001012,0.001073,0.00098,0.000956,0.001074,"dir",-0.000365,0.000978,0.00098
100,0.25,0.1,0.1,-0.5,0.55,0.930802,0.93106,0.939041,0.927952,0.000258,0.008239,-0.00285,0.000648,0.000696,0.000656,0.00065,0.000629,0.000649,"dir",0.000258,0.000648,0.00065
100,0.25,0.1,0.1,-0.5,0.6,0.95904,0.95984,0.967697,0.953745,8e-04,0.008657,-0.005295,0.000346,0.000397,0.000383,0.000346,0.000322,0.000355,"dir",8e-04,0.000346,0.000346
100,0.25,0.1,0.1,-0.5,0.65,0.977678,0.97834,0.98559,0.969288,0.000662,0.007912,-0.008391,0.000195,0.000221,0.000247,0.000195,0.000159,0.000177,"dir",0.000662,0.000195,0.000195
100,0.25,0.1,0.1,-0.5,0.7,0.989065,0.9891,0.994626,0.978327,3.5e-05,0.005561,-0.010738,0.000102,8.8e-05,0.000199,0.000102,5.7e-05,8.4e-05,"dir",3.5e-05,0.000102,0.000102
100,0.25,0.1,0.1,-0.5,0.75,0.995361,0.99544,0.998481,0.983248,7.9e-05,0.00312,-0.012113,4.5e-05,2.3e-05,0.000179,4.5e-05,1.3e-05,3.3e-05,"dir",7.9e-05,4.5e-05,4.5e-05
100,0.25,0.1,0.1,-0.5,0.8,0.9984,0.99838,0.999629,0.98547,-2e-05,0.001229,-0.01293,1.7e-05,4e-06,0.000176,1.7e-05,2e-06,9e-06,"dir",-2e-05,1.7e-05,1.7e-05
100,0.25,0.1,0.1,-0.5,0.85,0.999601,0.99964,0.999946,0.986238,3.9e-05,0.000344,-0.013363,3e-06,0,0.000182,3e-06,0,3e-06,"dir",3.9e-05,3e-06,3e-06
