"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.1,-0.5,0,0,0,0.121811,0,0,0.121811,0,0,0.014985,0,0,0.000184,0,"dir",0,0,0
100,0.25,0.05,0.1,-0.5,0.5,0.081109,0.076,0.197811,0.062183,-0.005109,0.116702,-0.018926,0.00045,0.014013,0.000736,0.00053,0.000492,0.000473,"dir",-0.005109,0.00045,0.00053
100,0.25,0.05,0.1,-0.5,1,0.198748,0.188,0.309811,0.175233,-0.010748,0.111063,-0.023515,0.001292,0.013384,0.000836,0.00147,0.001311,0.000354,"dir",-0.010748,0.001292,0.00147
100,0.25,0.05,0.1,-0.5,1.5,0.31773,0.332,0.453811,0.326009,0.01427,0.136081,0.00828,0.0023,0.021296,0.003432,0.00262,0.003472,0.004205,"dir",0.01427,0.0023,0.00262
100,0.25,0.05,0.1,-0.5,2,0.427593,0.454,0.575811,0.459205,0.026407,0.148218,0.031612,0.003721,0.025811,0.005548,0.00378,0.004803,0.005686,"dir",0.026407,0.003721,0.00378
100,0.25,0.05,0.1,-0.5,2.5,0.524709,0.536,0.657811,0.537003,0.011291,0.133102,0.012294,0.002071,0.020041,0.003502,0.00243,0.002906,0.004189,"dir",0.011291,0.002071,0.00243
100,0.25,0.05,0.1,-0.5,3,0.608375,0.626,0.747811,0.622933,0.017625,0.139436,0.014558,0.001295,0.020972,0.001779,0.00123,0.001912,0.001959,"dir",0.017625,0.001295,0.00123
100,0.25,0.05,0.1,-0.5,3.5,0.679238,0.708,0.829811,0.705289,0.028762,0.150573,0.026052,0.002203,0.024849,0.00199,0.00172,0.002721,0.001639,"dir",0.028762,0.002203,0.00172
100,0.25,0.05,0.1,-0.5,4,0.738536,0.784,0.905811,0.767175,0.045464,0.167275,0.028639,0.002811,0.029156,0.001926,0.00093,0.001469,0.001382,"dir",0.045464,0.002811,0.00093
100,0.25,0.05,0.1,-0.5,4.5,0.78771,0.818,0.939811,0.799888,0.03029,0.152101,0.012178,0.001334,0.023579,0.000812,0.00052,0.000556,0.00083,"dir",0.03029,0.001334,0.00052
100,0.25,0.05,0.1,-0.5,5,0.828203,0.86,0.978581,0.833422,0.031797,0.150378,0.005219,0.001811,0.023067,0.000388,0.001,0.000566,0.000451,"dir",0.031797,0.001811,0.001
100,0.25,0.05,0.1,-0.5,5.5,0.861361,0.886,0.993458,0.86595,0.024639,0.132096,0.004589,0.001031,0.017606,6.2e-05,0.00053,0.000196,5.2e-05,"dir",0.024639,0.001031,0.00053
100,0.25,0.05,0.1,-0.5,6,0.88839,0.902,0.99769,0.88519,0.01361,0.1093,-0.0032,0.000481,0.011968,0.000122,0.00037,2.7e-05,0.00014,"dir",0.01361,0.000481,0.00037
100,0.25,0.05,0.1,-0.5,6.5,0.910337,0.912,0.99969,0.902187,0.001663,0.089353,-0.00815,0.000419,0.007984,0.000347,0.00052,0,0.000351,"dir",0.001663,0.000419,0.00052
100,0.25,0.05,0.1,-0.5,7,0.928102,0.93,1,0.923021,0.001898,0.071898,-0.005081,0.000324,0.005169,0.00017,4e-04,0,0.00018,"dir",0.001898,0.000324,4e-04
100,0.25,0.05,0.1,-0.5,7.5,0.942442,0.95,1,0.937685,0.007558,0.057558,-0.004756,0.000257,0.003313,0.000201,0.00025,0,0.000223,"dir",0.007558,0.000257,0.00025
100,0.25,0.05,0.1,-0.5,8,0.953988,0.958,1,0.942502,0.004012,0.046012,-0.011486,0.000232,0.002117,0.000412,0.00027,0,0.00035,"dir",0.004012,0.000232,0.00027
100,0.25,0.05,0.1,-0.5,8.5,0.963267,0.96,1,0.944435,-0.003267,0.036733,-0.018832,0.000291,0.001349,0.000649,0.00035,0,0.000368,"dir",-0.003267,0.000291,0.00035
