"n","pA","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.05,-0.5,0,0,0,0.043154,0,0,0.043154,0,0,0.001882,0,0,2e-05,0,"dir",0,0,0
100,0.25,0.05,0.05,-0.5,0.1,0.001148,0.001,0.044154,4e-06,-0.000148,0.043006,-0.001144,9e-06,0.001879,1e-06,9e-06,3e-05,0,"dir",-0.000148,9e-06,9e-06
100,0.25,0.05,0.05,-0.5,0.2,0.007926,0.0081,0.051254,0.000455,0.000174,0.043328,-0.007471,8.2e-05,0.001985,6e-05,8.2e-05,0.000108,4e-06,"dir",0.000174,8.2e-05,8.2e-05
100,0.25,0.05,0.05,-0.5,0.3,0.023115,0.02328,0.066434,0.005904,0.000165,0.043319,-0.017211,0.000214,0.002121,0.000387,0.000215,0.000245,9.1e-05,"dir",0.000165,0.000214,0.000215
100,0.25,0.05,0.05,-0.5,0.4,0.047423,0.049,0.092154,0.0245,0.001577,0.044732,-0.022923,0.000455,0.002504,0.000887,0.000454,0.000504,0.000363,"dir",0.001577,0.000455,0.000454
100,0.25,0.05,0.05,-0.5,0.5,0.080301,0.08162,0.124774,0.056866,0.001319,0.044473,-0.023435,0.000752,0.002777,0.001337,0.000751,8e-04,0.00079,"dir",0.001319,0.000752,0.000751
100,0.25,0.05,0.05,-0.5,0.6,0.120513,0.12174,0.164894,0.096867,0.001227,0.044381,-0.023646,0.001099,0.003115,0.001938,0.0011,0.001148,0.001381,"dir",0.001227,0.001099,0.0011
100,0.25,0.05,0.05,-0.5,0.7,0.166502,0.1675,0.210654,0.143889,0.000998,0.044152,-0.022613,0.001463,0.003471,0.002489,0.001464,0.001525,0.001982,"dir",0.000998,0.001463,0.001464
100,0.25,0.05,0.05,-0.5,0.8,0.216642,0.2177,0.260854,0.19567,0.001058,0.044213,-0.020971,0.001854,0.003846,0.002937,0.001856,0.001895,0.002502,"dir",0.001058,0.001854,0.001856
100,0.25,0.05,0.05,-0.5,0.9,0.269379,0.2707,0.313854,0.249605,0.001321,0.044475,-0.019774,0.001982,0.003972,0.003305,0.001984,0.001998,0.00292,"dir",0.001321,0.001982,0.001984
100,0.25,0.05,0.05,-0.5,1,0.323324,0.3228,0.365954,0.305282,-0.000524,0.042631,-0.018041,0.002308,0.00413,0.003623,0.002313,0.002318,0.003304,"dir",-0.000524,0.002308,0.002313
100,0.25,0.05,0.05,-0.5,1.1,0.377286,0.37714,0.420294,0.360907,-0.000146,0.043008,-0.016379,0.002373,0.004209,0.003731,0.002378,0.002364,0.003469,"dir",-0.000146,0.002373,0.002378
100,0.25,0.05,0.05,-0.5,1.2,0.430291,0.43106,0.474214,0.415341,0.000769,0.043923,-0.01495,0.002395,0.004278,0.003689,0.002399,0.002354,0.003472,"dir",0.000769,0.002395,0.002399
100,0.25,0.05,0.05,-0.5,1.3,0.48157,0.481,0.524154,0.467082,-0.00057,0.042584,-0.014489,0.002524,0.004266,0.003782,0.002529,0.002457,0.003579,"dir",-0.00057,0.002524,0.002529
100,0.25,0.05,0.05,-0.5,1.4,0.530546,0.52912,0.572274,0.515776,-0.001426,0.041728,-0.014771,0.002657,0.004309,0.003883,0.00266,0.002573,0.003672,"dir",-0.001426,0.002657,0.00266
100,0.25,0.05,0.05,-0.5,1.5,0.57681,0.5751,0.618254,0.562179,-0.00171,0.041444,-0.014631,0.002666,0.00427,0.003894,0.002668,0.002557,0.003687,"dir",-0.00171,0.002666,0.002668
100,0.25,0.05,0.05,-0.5,1.6,0.620096,0.61772,0.660874,0.605547,-0.002376,0.040778,-0.014549,0.00259,0.004114,0.003753,0.00259,0.002456,0.003548,"dir",-0.002376,0.00259,0.00259
100,0.25,0.05,0.05,-0.5,1.7,0.66026,0.6577,0.700854,0.645605,-0.00256,0.040594,-0.014655,0.002476,0.00397,0.003569,0.002475,0.002326,0.003361,"dir",-0.00256,0.002476,0.002475
100,0.25,0.05,0.05,-0.5,1.8,0.697253,0.69406,0.737214,0.683925,-0.003193,0.039961,-0.013328,0.002225,0.003656,0.003182,0.002219,0.002063,0.00301,"dir",-0.003193,0.002225,0.002219
100,0.25,0.05,0.05,-0.5,1.9,0.731103,0.72938,0.772534,0.720343,-0.001723,0.041431,-0.010761,0.002059,0.003612,0.002818,0.00206,0.001899,0.002707,"dir",-0.001723,0.002059,0.00206
100,0.25,0.05,0.05,-0.5,2,0.761897,0.76142,0.804574,0.752508,-0.000477,0.042677,-0.009389,0.001904,0.003554,0.002567,0.001907,0.001736,0.002484,"dir",-0.000477,0.001904,0.001907
100,0.25,0.05,0.05,-0.5,2.1,0.789762,0.78944,0.832594,0.781348,-0.000322,0.042832,-0.008414,0.001763,0.00342,0.002336,0.001766,0.001589,0.00227,"dir",-0.000322,0.001763,0.001766
100,0.25,0.05,0.05,-0.5,2.2,0.814858,0.81452,0.857674,0.806995,-0.000338,0.042816,-0.007863,0.001578,0.003232,0.002113,0.001581,0.001402,0.002056,"dir",-0.000338,0.001578,0.001581
100,0.25,0.05,0.05,-0.5,2.3,0.837361,0.83802,0.881174,0.830241,0.000659,0.043813,-0.00712,0.001415,0.003157,0.001953,0.001418,0.00124,0.001906,"dir",0.000659,0.001415,0.001418
100,0.25,0.05,0.05,-0.5,2.4,0.857461,0.8586,0.901754,0.849929,0.001139,0.044293,-0.007532,0.001316,0.003092,0.001728,0.001317,0.001132,0.001674,"dir",0.001139,0.001316,0.001317
100,0.25,0.05,0.05,-0.5,2.5,0.875348,0.87564,0.918794,0.867341,0.000292,0.043446,-0.008007,0.001203,0.002913,0.001585,0.001206,0.001027,0.001524,"dir",0.000292,0.001203,0.001206
100,0.25,0.05,0.05,-0.5,2.6,0.891213,0.89166,0.934789,0.882419,0.000447,0.043575,-0.008794,0.00104,0.002762,0.001391,0.001042,0.000865,0.001317,"dir",0.000447,0.00104,0.001042
100,0.25,0.05,0.05,-0.5,2.7,0.905242,0.90548,0.948507,0.896115,0.000238,0.043265,-0.009127,0.000877,0.00257,0.001229,0.000879,7e-04,0.001148,"dir",0.000238,0.000877,0.000879
100,0.25,0.05,0.05,-0.5,2.8,0.917612,0.91842,0.961222,0.908532,0.000808,0.043611,-0.009079,0.000802,0.002512,0.001098,0.000803,0.000612,0.001018,"dir",0.000808,0.000802,0.000803
100,0.25,0.05,0.05,-0.5,2.9,0.928489,0.92988,0.972171,0.91959,0.001391,0.043682,-0.008899,0.00069,0.002392,0.000969,0.00069,0.000485,0.000892,"dir",0.001391,0.00069,0.00069
