"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dirSD","avg_F_hat","bias_dir","bias_dirSD","bias_hat","mse_dir","mse_dirSD","mse_hat","var_dir","var_dirSD","var_hat","estimator","bias","mse","var"
100,0.25,16,-0.5,0,0,0,0.086252,6e-06,0,0.086252,6e-06,0,0.007512,0,0,7.3e-05,0,"dir",0,0,0
100,0.25,16,-0.5,0.1,0.001148,0.00122,0.087472,0.000278,7.2e-05,0.086324,-0.00087,1.1e-05,0.007538,3e-06,1.1e-05,8.6e-05,3e-06,"dir",7.2e-05,1.1e-05,1.1e-05
100,0.25,16,-0.5,0.2,0.007926,0.00832,0.094572,0.002433,0.000394,0.086646,-0.005493,7.9e-05,0.007666,7.4e-05,7.9e-05,0.000159,4.4e-05,"dir",0.000394,7.9e-05,7.9e-05
100,0.25,16,-0.5,0.3,0.023115,0.02304,0.109292,0.010342,-7.5e-05,0.086177,-0.012774,0.000212,0.007728,0.000393,0.000212,0.000302,0.00023,"dir",-7.5e-05,0.000212,0.000212
100,0.25,16,-0.5,0.4,0.047423,0.04838,0.134632,0.027828,0.000957,0.08721,-0.019594,0.000418,0.008129,0.001133,0.000418,0.000525,0.000751,"dir",0.000957,0.000418,0.000418
100,0.25,16,-0.5,0.5,0.080301,0.08086,0.167112,0.056392,0.000559,0.086811,-0.023909,0.000761,0.008427,0.002155,0.000762,0.000893,0.001586,"dir",0.000559,0.000761,0.000762
100,0.25,16,-0.5,0.6,0.120513,0.12136,0.207612,0.094435,0.000847,0.087099,-0.026078,0.001162,0.008883,0.003363,0.001163,0.001299,0.002688,"dir",0.000847,0.001162,0.001163
100,0.25,16,-0.5,0.7,0.166502,0.16738,0.253632,0.13961,0.000878,0.08713,-0.026892,0.001444,0.009165,0.004728,0.001446,0.001576,0.004013,"dir",0.000878,0.001444,0.001446
100,0.25,16,-0.5,0.8,0.216642,0.21614,0.302392,0.190836,-0.000502,0.085751,-0.025806,0.001816,0.009281,0.0061,0.001819,0.001931,0.005445,"dir",-0.000502,0.001816,0.001819
100,0.25,16,-0.5,0.9,0.269379,0.26962,0.355872,0.246892,0.000241,0.086493,-0.022487,0.002106,0.009672,0.007344,0.00211,0.002196,0.006852,"dir",0.000241,0.002106,0.00211
100,0.25,16,-0.5,1,0.323324,0.32304,0.409292,0.304978,-0.000284,0.085969,-0.018346,0.002467,0.0099,0.008264,0.002472,0.002514,0.007943,"dir",-0.000284,0.002467,0.002472
100,0.25,16,-0.5,1.1,0.377286,0.37622,0.462472,0.363091,-0.001066,0.085186,-0.014195,0.002414,0.009666,0.008962,0.002418,0.002415,0.008779,"dir",-0.001066,0.002414,0.002418
100,0.25,16,-0.5,1.2,0.430291,0.4301,0.516352,0.420119,-0.000191,0.086061,-0.010173,0.002745,0.010143,0.009289,0.002751,0.002742,0.009204,"dir",-0.000191,0.002745,0.002751
100,0.25,16,-0.5,1.3,0.48157,0.48156,0.567812,0.476487,-1e-05,0.086242,-0.005083,0.002584,0.009985,0.009186,0.002589,0.002552,0.009179,"dir",-1e-05,0.002584,0.002589
100,0.25,16,-0.5,1.4,0.530546,0.53108,0.617332,0.529508,0.000534,0.086786,-0.001038,0.00248,0.009911,0.008957,0.002485,0.002384,0.008973,"dir",0.000534,0.00248,0.002485
100,0.25,16,-0.5,1.5,0.57681,0.5778,0.664052,0.578716,0.00099,0.087242,0.001906,0.002449,0.009918,0.008794,0.002453,0.002312,0.008808,"dir",0.00099,0.002449,0.002453
100,0.25,16,-0.5,1.6,0.620096,0.6204,0.706652,0.623059,0.000304,0.086556,0.002963,0.002496,0.009808,0.008566,0.002501,0.002321,0.008575,"dir",0.000304,0.002496,0.002501
100,0.25,16,-0.5,1.7,0.66026,0.66036,0.746612,0.661877,1e-04,0.086352,0.001617,0.002434,0.009684,0.008301,0.002439,0.002232,0.008315,"dir",1e-04,0.002434,0.002439
100,0.25,16,-0.5,1.8,0.697253,0.69754,0.783792,0.69857,0.000287,0.086539,0.001317,0.002358,0.009609,0.007965,0.002363,0.002125,0.00798,"dir",0.000287,0.002358,0.002363
100,0.25,16,-0.5,1.9,0.731103,0.7315,0.817752,0.733309,0.000397,0.086649,0.002206,0.002146,0.009393,0.007718,0.00215,0.001888,0.007729,"dir",0.000397,0.002146,0.00215
100,0.25,16,-0.5,2,0.761897,0.76354,0.849792,0.766316,0.001643,0.087896,0.00442,0.001962,0.0094,0.007111,0.001963,0.001678,0.007105,"dir",0.001643,0.001962,0.001963
100,0.25,16,-0.5,2.1,0.789762,0.79186,0.878112,0.795034,0.002098,0.08835,0.005272,0.001711,0.009228,0.006202,0.00171,0.001425,0.006186,"dir",0.002098,0.001711,0.00171
100,0.25,16,-0.5,2.2,0.814858,0.81614,0.902392,0.819233,0.001282,0.087534,0.004375,0.001581,0.008932,0.005389,0.001582,0.001273,0.005381,"dir",0.001282,0.001581,0.001582
100,0.25,16,-0.5,2.3,0.837361,0.8389,0.925119,0.841106,0.001539,0.087757,0.003745,0.001421,0.008798,0.004905,0.001422,0.001099,0.004901,"dir",0.001539,0.001421,0.001422
100,0.25,16,-0.5,2.4,0.857461,0.8578,0.943744,0.860835,0.000339,0.086283,0.003375,0.001288,0.008377,0.004398,0.00129,0.000934,0.004396,"dir",0.000339,0.001288,0.00129
100,0.25,16,-0.5,2.5,0.875348,0.87514,0.96055,0.877943,-0.000208,0.085202,0.002595,0.001151,0.008011,0.004016,0.001153,0.000753,0.004017,"dir",-0.000208,0.001151,0.001153
100,0.25,16,-0.5,2.6,0.891213,0.89136,0.975164,0.89334,0.000147,0.083951,0.002127,0.000992,0.007572,0.003588,0.000994,0.000526,0.003591,"dir",0.000147,0.000992,0.000994
100,0.25,16,-0.5,2.7,0.905242,0.90498,0.985731,0.906026,-0.000262,0.080489,0.000784,0.000861,0.006808,0.003153,0.000863,0.00033,0.003159,"dir",-0.000262,0.000861,0.000863
100,0.25,16,-0.5,2.8,0.917612,0.91766,0.992946,0.917908,4.8e-05,0.075334,0.000296,0.000741,0.005822,0.002801,0.000742,0.000147,0.002806,"dir",4.8e-05,0.000741,0.000742
100,0.25,16,-0.5,2.9,0.928489,0.92886,0.996892,0.92853,0.000371,0.068403,4.1e-05,0.000695,0.004747,0.002481,0.000696,6.8e-05,0.002486,"dir",0.000371,0.000695,0.000696
100,0.25,16,-0.5,3,0.938031,0.93834,0.998791,0.937911,0.000309,0.06076,-0.00012,0.000592,0.003714,0.002199,0.000593,2.2e-05,0.002203,"dir",0.000309,0.000592,0.000593
100,0.25,16,-0.5,3.1,0.946382,0.94698,0.999628,0.945942,0.000598,0.053246,-0.000441,0.000528,0.00284,0.001945,0.000529,5e-06,0.001948,"dir",0.000598,0.000528,0.000529
100,0.25,16,-0.5,3.2,0.953676,0.9542,0.999881,0.952812,0.000524,0.046206,-0.000864,0.000451,0.002137,0.001704,0.000452,2e-06,0.001707,"dir",0.000524,0.000451,0.000452
100,0.25,16,-0.5,3.3,0.960032,0.95982,0.999965,0.958424,-0.000212,0.039932,-0.001608,0.000405,0.001595,0.001456,0.000406,1e-06,0.001457,"dir",-0.000212,0.000405,0.000406
100,0.25,16,-0.5,3.4,0.965562,0.9653,0.999985,0.963083,-0.000262,0.034423,-0.002479,0.000357,0.001185,0.001274,0.000358,0,0.001271,"dir",-0.000262,0.000357,0.000358
100,0.25,16,-0.5,3.5,0.970364,0.9699,1,0.967363,-0.000464,0.029636,-0.003001,0.000294,0.000878,0.001109,0.000295,0,0.001103,"dir",-0.000464,0.000294,0.000295
100,0.25,16,-0.5,3.6,0.974526,0.97422,1,0.971195,-0.000306,0.025474,-0.003331,0.000241,0.000649,0.000954,0.000241,0,0.000945,"dir",-0.000306,0.000241,0.000241
100,0.25,16,-0.5,3.7,0.978129,0.9781,1,0.974688,-2.9e-05,0.021871,-0.003441,0.000189,0.000478,0.000802,0.00019,0,0.000792,"dir",-2.9e-05,0.000189,0.00019
100,0.25,16,-0.5,3.8,0.981243,0.98104,1,0.977348,-0.000203,0.018757,-0.003895,0.000166,0.000352,0.000698,0.000166,0,0.000684,"dir",-0.000203,0.000166,0.000166
100,0.25,16,-0.5,3.9,0.98393,0.98354,1,0.979304,-0.00039,0.01607,-0.004626,0.000151,0.000258,0.000618,0.000151,0,0.000597,"dir",-0.00039,0.000151,0.000151
100,0.25,16,-0.5,4,0.986246,0.98536,1,0.981135,-0.000886,0.013754,-0.005111,0.000142,0.000189,0.000538,0.000142,0,0.000513,"dir",-0.000886,0.000142,0.000142
100,0.25,16,0,0,0,0,0.085913,0.000329,0,0.085913,0.000329,0,0.007453,5e-06,0,7.2e-05,4e-06,"dir",0,0,0
100,0.25,16,0,0.1,0.001148,0.0011,0.087013,0.002326,-4.8e-05,0.085865,0.001178,1.1e-05,0.007458,4.7e-05,1.1e-05,8.6e-05,4.6e-05,"dir",-4.8e-05,1.1e-05,1.1e-05
100,0.25,16,0,0.2,0.007926,0.00766,0.093573,0.008992,-0.000266,0.085647,0.001066,6.8e-05,0.00749,0.000231,6.8e-05,0.000155,0.00023,"dir",-0.000266,6.8e-05,6.8e-05
100,0.25,16,0,0.3,0.023115,0.02306,0.108973,0.023068,-5.5e-05,0.085858,-4.7e-05,0.00024,0.007726,0.000649,0.000241,0.000355,0.00065,"dir",-5.5e-05,0.00024,0.000241
100,0.25,16,0,0.4,0.047423,0.04684,0.132753,0.046213,-0.000583,0.085331,-0.00121,0.000482,0.007899,0.001312,0.000483,0.000619,0.001313,"dir",-0.000583,0.000482,0.000483
100,0.25,16,0,0.5,0.080301,0.07976,0.165673,0.078806,-0.000541,0.085372,-0.001495,0.000713,0.008156,0.002272,0.000714,0.00087,0.002274,"dir",-0.000541,0.000713,0.000714
100,0.25,16,0,0.6,0.120513,0.12054,0.206453,0.118268,2.7e-05,0.085941,-0.002245,0.00107,0.008621,0.003303,0.001072,0.001238,0.003305,"dir",2.7e-05,0.00107,0.001072
100,0.25,16,0,0.7,0.166502,0.16692,0.252833,0.163175,0.000418,0.086331,-0.003328,0.001343,0.008952,0.004294,0.001346,0.001502,0.004291,"dir",0.000418,0.001343,0.001346
100,0.25,16,0,0.8,0.216642,0.21564,0.301553,0.211662,-0.001002,0.084912,-0.004979,0.001642,0.008963,0.005204,0.001644,0.001756,0.00519,"dir",-0.001002,0.001642,0.001644
100,0.25,16,0,0.9,0.269379,0.26866,0.354573,0.263367,-0.000719,0.085195,-0.006012,0.002019,0.009368,0.006206,0.002022,0.002114,0.006182,"dir",-0.000719,0.002019,0.002022
100,0.25,16,0,1,0.323324,0.32278,0.408693,0.317618,-0.000544,0.08537,-0.005705,0.002366,0.009706,0.007102,0.002371,0.002423,0.007084,"dir",-0.000544,0.002366,0.002371
100,0.25,16,0,1.1,0.377286,0.37666,0.462573,0.370665,-0.000626,0.085287,-0.006622,0.002472,0.009766,0.00785,0.002476,0.002497,0.007822,"dir",-0.000626,0.002472,0.002476
100,0.25,16,0,1.2,0.430291,0.43044,0.516353,0.424301,0.000149,0.086062,-0.00599,0.002713,0.010092,0.008429,0.002719,0.002691,0.00841,"dir",0.000149,0.002713,0.002719
100,0.25,16,0,1.3,0.48157,0.48284,0.568753,0.475844,0.00127,0.087183,-0.005726,0.00279,0.010276,0.009037,0.002794,0.002681,0.009022,"dir",0.00127,0.00279,0.002794
100,0.25,16,0,1.4,0.530546,0.53064,0.616553,0.524179,9.4e-05,0.086007,-0.006368,0.002702,0.00994,0.009447,0.002707,0.002548,0.009426,"dir",9.4e-05,0.002702,0.002707
100,0.25,16,0,1.5,0.57681,0.57656,0.662473,0.568781,-0.00025,0.085664,-0.008029,0.002639,0.009789,0.00951,0.002645,0.002456,0.009464,"dir",-0.00025,0.002639,0.002645
100,0.25,16,0,1.6,0.620096,0.61916,0.705073,0.609467,-0.000936,0.084977,-0.010629,0.002489,0.009483,0.009131,0.002493,0.002267,0.009036,"dir",-0.000936,0.002489,0.002493
100,0.25,16,0,1.7,0.66026,0.6589,0.744813,0.64833,-0.00136,0.084553,-0.01193,0.00238,0.009327,0.008799,0.002383,0.002182,0.008674,"dir",-0.00136,0.00238,0.002383
100,0.25,16,0,1.8,0.697253,0.69444,0.780353,0.685626,-0.002813,0.0831,-0.011627,0.002253,0.008915,0.008391,0.002249,0.002014,0.008273,"dir",-0.002813,0.002253,0.002249
100,0.25,16,0,1.9,0.731103,0.72944,0.815353,0.720513,-0.001663,0.08425,-0.01059,0.002057,0.008892,0.00791,0.002059,0.001798,0.007814,"dir",-0.001663,0.002057,0.002059
100,0.25,16,0,2,0.761897,0.75958,0.845493,0.752807,-0.002317,0.083597,-0.009089,0.001971,0.008668,0.007383,0.00197,0.001682,0.007315,"dir",-0.002317,0.001971,0.00197
100,0.25,16,0,2.1,0.789762,0.78934,0.875253,0.782529,-0.000422,0.085491,-0.007233,0.001795,0.008811,0.006744,0.001798,0.001505,0.006705,"dir",-0.000422,0.001795,0.001798
100,0.25,16,0,2.2,0.814858,0.81692,0.902833,0.80915,0.002062,0.087976,-0.005708,0.001413,0.008886,0.006034,0.001412,0.001148,0.006013,"dir",0.002062,0.001413,0.001412
100,0.25,16,0,2.3,0.837361,0.83962,0.925526,0.832314,0.002259,0.088165,-0.005047,0.001253,0.00875,0.005263,0.00125,0.000979,0.005248,"dir",0.002259,0.001253,0.00125
100,0.25,16,0,2.4,0.857461,0.85932,0.945013,0.851226,0.001859,0.087552,-0.006235,0.00113,0.008498,0.004747,0.001129,0.000834,0.004717,"dir",0.001859,0.00113,0.001129
100,0.25,16,0,2.5,0.875348,0.87718,0.962252,0.867914,0.001832,0.086904,-0.007434,0.000991,0.008202,0.004309,0.000989,0.000651,0.004263,"dir",0.001832,0.000991,0.000989
100,0.25,16,0,2.6,0.891213,0.89214,0.97587,0.883667,0.000927,0.084657,-0.007546,0.000858,0.007628,0.003858,0.000859,0.000462,0.003808,"dir",0.000927,0.000858,0.000859
100,0.25,16,0,2.7,0.905242,0.90526,0.985797,0.897054,1.8e-05,0.080554,-0.008188,0.000799,0.006785,0.003515,0.000801,0.000296,0.003455,"dir",1.8e-05,0.000799,0.000801
100,0.25,16,0,2.8,0.917612,0.91716,0.992832,0.908795,-0.000452,0.07522,-0.008816,0.000712,0.00581,0.003156,0.000713,0.000152,0.003084,"dir",-0.000452,0.000712,0.000713
100,0.25,16,0,2.9,0.928489,0.92844,0.996814,0.919507,-4.9e-05,0.068324,-0.008982,0.000648,0.004733,0.002701,0.000649,6.5e-05,0.002625,"dir",-4.9e-05,0.000648,0.000649
100,0.25,16,0,3,0.938031,0.93866,0.998959,0.929579,0.000629,0.060928,-0.008452,0.000577,0.003731,0.002326,0.000578,1.8e-05,0.00226,"dir",0.000629,0.000577,0.000578
100,0.25,16,0,3.1,0.946382,0.94644,0.9997,0.938532,5.8e-05,0.053318,-0.00785,0.000501,0.002846,0.002014,0.000502,4e-06,0.001956,"dir",5.8e-05,0.000501,0.000502
100,0.25,16,0,3.2,0.953676,0.95346,0.999994,0.94577,-0.000216,0.046318,-0.007905,0.000453,0.002145,0.001817,0.000454,0,0.001758,"dir",-0.000216,0.000453,0.000454
100,0.25,16,0,3.3,0.960032,0.96,1,0.951973,-3.2e-05,0.039968,-0.00806,0.000386,0.001597,0.001617,0.000386,0,0.001555,"dir",-3.2e-05,0.000386,0.000386
100,0.25,16,0,3.4,0.965562,0.96568,1,0.957536,0.000118,0.034438,-0.008026,0.000327,0.001186,0.001398,0.000327,0,0.001337,"dir",0.000118,0.000327,0.000327
100,0.25,16,0,3.5,0.970364,0.9704,1,0.962201,3.6e-05,0.029636,-0.008163,0.000277,0.000878,0.001212,0.000278,0,0.001148,"dir",3.6e-05,0.000277,0.000278
100,0.25,16,0,3.6,0.974526,0.9741,1,0.966368,-0.000426,0.025474,-0.008158,0.000238,0.000649,0.00108,0.000238,0,0.001016,"dir",-0.000426,0.000238,0.000238
100,0.25,16,0,3.7,0.978129,0.97816,1,0.970128,3.1e-05,0.021871,-0.008002,0.000207,0.000478,0.000943,0.000207,0,0.00088,"dir",3.1e-05,0.000207,0.000207
100,0.25,16,0,3.8,0.981243,0.98112,1,0.973441,-0.000123,0.018757,-0.007802,0.000176,0.000352,0.000766,0.000176,0,0.000707,"dir",-0.000123,0.000176,0.000176
