"n","p1","maxc","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.1,-0.5,0,0,0,0.039781,0.000605,0,0.039781,0.000605,0,0.00159,6e-06,0,7e-06,5e-06,"dir",0,0,0
100,0.25,0.1,-0.5,0.05,0.032774,0.03134,0.071121,0.016396,-0.001434,0.038347,-0.016378,0.000313,0.001806,0.000561,0.000312,0.000336,0.000293,"dir",-0.001434,0.000313,0.000312
100,0.25,0.1,-0.5,0.1,0.114265,0.11136,0.151141,0.080147,-0.002905,0.036876,-0.034118,0.000988,0.002386,0.003109,0.000982,0.001028,0.001949,"dir",-0.002905,0.000988,0.000982
100,0.25,0.1,-0.5,0.15,0.223516,0.22302,0.262801,0.187786,-0.000496,0.039285,-0.03573,0.001748,0.003333,0.006188,0.001751,0.001793,0.004921,"dir",-0.000496,0.001748,0.001751
100,0.25,0.1,-0.5,0.2,0.34464,0.3448,0.384581,0.316312,0.00016,0.039941,-0.028328,0.002626,0.004251,0.008096,0.002631,0.002661,0.007308,"dir",0.00016,0.002626,0.002631
100,0.25,0.1,-0.5,0.25,0.466064,0.4664,0.506181,0.44791,0.000336,0.040117,-0.018155,0.002716,0.004305,0.009159,0.002721,0.002701,0.008847,"dir",0.000336,0.002716,0.002721
100,0.25,0.1,-0.5,0.3,0.579825,0.58086,0.620641,0.571848,0.001035,0.040816,-0.007977,0.002501,0.004108,0.008787,0.002505,0.002447,0.00874,"dir",0.001035,0.002501,0.002505
100,0.25,0.1,-0.5,0.35,0.68092,0.68256,0.722341,0.679574,0.00164,0.041421,-0.001347,0.002258,0.003877,0.007561,0.00226,0.002165,0.007575,"dir",0.00164,0.002258,0.00226
100,0.25,0.1,-0.5,0.4,0.76672,0.7686,0.808381,0.768327,0.00188,0.041661,0.001607,0.001761,0.003381,0.006087,0.001761,0.001648,0.006096,"dir",0.00188,0.001761,0.001761
100,0.25,0.1,-0.5,0.45,0.836433,0.83678,0.876561,0.839445,0.000347,0.040128,0.003013,0.001397,0.002887,0.004572,0.0014,0.001279,0.004572,"dir",0.000347,0.001397,0.0014
