"n","p1","a","rho","s","F_true","avg_F_dir","avg_F_dirSD","avg_F_hat","bias_dir","bias_dirSD","bias_hat","mse_dir","mse_dirSD","mse_hat","var_dir","var_dirSD","var_hat","estimator","bias","mse","var"
100,0.25,20,-0.5,-4,3.2e-05,0,0.099019,0,-3.2e-05,0.098987,-3.2e-05,0,0.009849,0,0,5e-05,0,"dir",-3.2e-05,0,0
100,0.25,20,-0.5,-3.9,4.8e-05,4e-05,0.099059,0,-8e-06,0.09901,-4.8e-05,0,0.009854,0,0,5.1e-05,0,"dir",-8e-06,0,0
100,0.25,20,-0.5,-3.8,7.2e-05,4e-05,0.099059,0,-3.2e-05,0.098986,-7.2e-05,0,0.009849,0,0,5.1e-05,0,"dir",-3.2e-05,0,0
100,0.25,20,-0.5,-3.7,0.000108,4e-05,0.099059,0,-6.8e-05,0.098951,-0.000108,0,0.009842,0,0,5.1e-05,0,"dir",-6.8e-05,0,0
100,0.25,20,-0.5,-3.6,0.000159,4e-05,0.099059,0,-0.000119,0.098899,-0.000159,0,0.009832,0,0,5.1e-05,0,"dir",-0.000119,0,0
100,0.25,20,-0.5,-3.5,0.000233,1e-04,0.099119,1.7e-05,-0.000133,0.098886,-0.000216,1e-06,0.00983,0,1e-06,5.2e-05,0,"dir",-0.000133,1e-06,1e-06
100,0.25,20,-0.5,-3.4,0.000337,0.00016,0.099179,9.8e-05,-0.000177,0.098842,-0.000239,2e-06,0.009823,3e-06,2e-06,5.3e-05,2e-06,"dir",-0.000177,2e-06,2e-06
100,0.25,20,-0.5,-3.3,0.000483,3e-04,0.099319,0.000155,-0.000183,0.098835,-0.000329,3e-06,0.009823,5e-06,3e-06,5.5e-05,5e-06,"dir",-0.000183,3e-06,3e-06
100,0.25,20,-0.5,-3.2,0.000687,0.00046,0.099479,0.00023,-0.000227,0.098791,-0.000457,4e-06,0.009817,8e-06,4e-06,5.8e-05,7e-06,"dir",-0.000227,4e-06,4e-06
100,0.25,20,-0.5,-3.1,0.000968,0.00068,0.099699,0.000316,-0.000288,0.098731,-0.000651,6e-06,0.009808,1e-05,6e-06,6e-05,9e-06,"dir",-0.000288,6e-06,6e-06
100,0.25,20,-0.5,-3,0.00135,0.00112,0.100139,0.000453,-0.00023,0.098789,-0.000897,1.1e-05,0.009828,1.3e-05,1.1e-05,6.9e-05,1.2e-05,"dir",-0.00023,1.1e-05,1.1e-05
100,0.25,20,-0.5,-2.9,0.001866,0.00162,0.100639,0.00065,-0.000246,0.098773,-0.001216,1.6e-05,0.009834,1.9e-05,1.6e-05,7.8e-05,1.8e-05,"dir",-0.000246,1.6e-05,1.6e-05
100,0.25,20,-0.5,-2.8,0.002555,0.00226,0.101279,0.001073,-0.000295,0.098723,-0.001482,2.1e-05,0.009835,3.2e-05,2.1e-05,8.9e-05,3e-05,"dir",-0.000295,2.1e-05,2.1e-05
100,0.25,20,-0.5,-2.7,0.003467,0.00298,0.101999,0.001689,-0.000487,0.098532,-0.001778,2.9e-05,0.00981,5.3e-05,2.9e-05,0.000102,5e-05,"dir",-0.000487,2.9e-05,2.9e-05
100,0.25,20,-0.5,-2.6,0.004661,0.00414,0.103159,0.002487,-0.000521,0.098497,-0.002174,4.3e-05,0.009822,7.8e-05,4.2e-05,0.000121,7.4e-05,"dir",-0.000521,4.3e-05,4.2e-05
100,0.25,20,-0.5,-2.5,0.00621,0.0055,0.104519,0.003601,-0.00071,0.098309,-0.002609,5.7e-05,0.009808,0.000116,5.7e-05,0.000144,0.00011,"dir",-0.00071,5.7e-05,5.7e-05
100,0.25,20,-0.5,-2.4,0.008198,0.00748,0.106499,0.004746,-0.000718,0.098301,-0.003451,7.2e-05,0.009832,0.000159,7.1e-05,0.000169,0.000147,"dir",-0.000718,7.2e-05,7.1e-05
100,0.25,20,-0.5,-2.3,0.010724,0.00988,0.108899,0.006341,-0.000844,0.098174,-0.004383,9e-05,0.009833,0.000204,9e-05,0.000195,0.000186,"dir",-0.000844,9e-05,9e-05
100,0.25,20,-0.5,-2.2,0.013903,0.01344,0.112459,0.009018,-0.000463,0.098555,-0.004886,0.000126,0.009959,0.000285,0.000126,0.000246,0.000262,"dir",-0.000463,0.000126,0.000126
100,0.25,20,-0.5,-2.1,0.017864,0.01702,0.116039,0.012419,-0.000844,0.098174,-0.005445,0.00016,0.009933,4e-04,0.00016,0.000295,0.000371,"dir",-0.000844,0.00016,0.00016
100,0.25,20,-0.5,-2,0.02275,0.02156,0.120579,0.016014,-0.00119,0.097828,-0.006736,0.000206,0.009935,0.000557,0.000205,0.000366,0.000512,"dir",-0.00119,0.000206,0.000205
100,0.25,20,-0.5,-1.9,0.028717,0.02696,0.125979,0.020331,-0.001757,0.097262,-0.008386,0.00029,0.009926,0.000772,0.000287,0.000467,0.000703,"dir",-0.001757,0.00029,0.000287
100,0.25,20,-0.5,-1.8,0.03593,0.03408,0.133099,0.025732,-0.00185,0.097168,-0.010199,0.000368,0.010005,0.001029,0.000365,0.000565,0.000927,"dir",-0.00185,0.000368,0.000365
100,0.25,20,-0.5,-1.7,0.044565,0.04212,0.141139,0.033076,-0.002445,0.096573,-0.011489,0.000437,0.009983,0.00131,0.000432,0.000657,0.00118,"dir",-0.002445,0.000437,0.000432
100,0.25,20,-0.5,-1.6,0.054799,0.0521,0.151119,0.042122,-0.002699,0.096319,-0.012677,0.000517,0.010026,0.001653,0.000511,0.00075,0.001496,"dir",-0.002699,0.000517,0.000511
100,0.25,20,-0.5,-1.5,0.066807,0.06428,0.163299,0.052592,-0.002527,0.096491,-0.014215,0.000616,0.010182,0.002058,0.000611,0.000873,0.001859,"dir",-0.002527,0.000616,0.000611
100,0.25,20,-0.5,-1.4,0.080757,0.07866,0.177679,0.06604,-0.002097,0.096922,-0.014717,0.000764,0.010434,0.002554,0.000762,0.001042,0.002342,"dir",-0.002097,0.000764,0.000762
100,0.25,20,-0.5,-1.3,0.0968,0.09536,0.194379,0.082642,-0.00144,0.097578,-0.014159,0.000853,0.010658,0.003211,0.000853,0.001139,0.003016,"dir",-0.00144,0.000853,0.000853
100,0.25,20,-0.5,-1.2,0.11507,0.11334,0.212359,0.100941,-0.00173,0.097289,-0.014129,0.000977,0.010733,0.003946,0.000976,0.00127,0.003754,"dir",-0.00173,0.000977,0.000976
100,0.25,20,-0.5,-1.1,0.135666,0.13304,0.232059,0.120543,-0.002626,0.096392,-0.015123,0.001176,0.010761,0.004773,0.001172,0.001472,0.004554,"dir",-0.002626,0.001176,0.001172
100,0.25,20,-0.5,-1,0.158655,0.15576,0.254779,0.142182,-0.002895,0.096123,-0.016473,0.001304,0.010844,0.005586,0.001298,0.001607,0.005326,"dir",-0.002895,0.001304,0.001298
100,0.25,20,-0.5,-0.9,0.18406,0.18144,0.280459,0.167049,-0.00262,0.096398,-0.017012,0.001467,0.01105,0.006282,0.001463,0.001761,0.006005,"dir",-0.00262,0.001467,0.001463
100,0.25,20,-0.5,-0.8,0.211855,0.2088,0.307819,0.195213,-0.003055,0.095963,-0.016643,0.001542,0.01103,0.006987,0.001536,0.001825,0.006724,"dir",-0.003055,0.001542,0.001536
100,0.25,20,-0.5,-0.7,0.241964,0.23988,0.338899,0.224586,-0.002084,0.096935,-0.017378,0.001583,0.011248,0.00774,0.001582,0.001855,0.007453,"dir",-0.002084,0.001583,0.001582
100,0.25,20,-0.5,-0.6,0.274253,0.27158,0.370599,0.255305,-0.002673,0.096345,-0.018948,0.001872,0.011407,0.008602,0.001869,0.002128,0.008259,"dir",-0.002673,0.001872,0.001869
100,0.25,20,-0.5,-0.5,0.308538,0.30584,0.404859,0.288893,-0.002698,0.096321,-0.019645,0.002006,0.011512,0.009223,0.002003,0.002238,0.008855,"dir",-0.002698,0.002006,0.002003
100,0.25,20,-0.5,-0.4,0.344578,0.34236,0.441379,0.325982,-0.002218,0.0968,-0.018596,0.00215,0.011703,0.009521,0.002149,0.002337,0.009193,"dir",-0.002218,0.00215,0.002149
100,0.25,20,-0.5,-0.3,0.382089,0.38096,0.479979,0.365204,-0.001129,0.09789,-0.016885,0.002302,0.012045,0.00955,0.002306,0.002468,0.009284,"dir",-0.001129,0.002302,0.002306
100,0.25,20,-0.5,-0.2,0.42074,0.41844,0.517459,0.404354,-0.0023,0.096718,-0.016386,0.002332,0.011791,0.00941,0.002331,0.002441,0.00916,"dir",-0.0023,0.002332,0.002331
100,0.25,20,-0.5,-0.0999999999999996,0.460172,0.45786,0.556879,0.44487,-0.002312,0.096706,-0.015303,0.00233,0.011768,0.009263,0.002329,0.002421,0.009047,"dir",-0.002312,0.00233,0.002329
100,0.25,20,-0.5,0,0.5,0.49908,0.598099,0.487667,-0.00092,0.098099,-0.012333,0.002387,0.012063,0.009139,0.002391,0.002444,0.009005,"dir",-0.00092,0.002387,0.002391
100,0.25,20,-0.5,0.100000000000001,0.539828,0.53738,0.636399,0.532001,-0.002448,0.096571,-0.007827,0.002495,0.011849,0.00917,0.002494,0.002528,0.009127,"dir",-0.002448,0.002495,0.002494
