"n","p1","b","rho","Direct","Direct + SD","IST"
100,0.25,0.1,-0.5,0.000932,0.001865,0.003071
100,0.25,0.25,-0.5,0.000897,0.001793,0.002223
100,0.25,0.5,-0.5,0.000887,0.001889,0.004361
100,0.5,0.1,-0.5,0.000956,0.001832,0.001713
100,0.5,0.25,-0.5,0.000943,0.001873,0.001611
100,0.5,0.5,-0.5,0.000883,0.001845,0.003832
100,0.75,0.1,-0.5,0.000882,0.001832,0.00152
100,0.75,0.25,-0.5,0.000914,0.001798,0.001813
100,0.75,0.5,-0.5,0.000893,0.001892,0.00501
100,0.25,0.1,0,0.000872,0.001942,0.003228
100,0.25,0.25,0,0.000896,0.001862,0.003451
100,0.25,0.5,0,0.000905,0.001821,0.008737
100,0.5,0.1,0,0.000989,0.001904,0.001793
100,0.5,0.25,0,0.000858,0.00189,0.002314
100,0.5,0.5,0,0.000942,0.001767,0.00837
100,0.75,0.1,0,0.000875,0.001855,0.001577
100,0.75,0.25,0,0.000919,0.001877,0.002446
100,0.75,0.5,0,0.000877,0.001856,0.009022
100,0.25,0.1,0.5,0.000889,0.001808,0.003651
100,0.25,0.25,0.5,0.000949,0.001899,0.006536
100,0.25,0.5,0.5,0.000904,0.001855,0.014506
100,0.5,0.1,0.5,0.000859,0.001771,0.002236
100,0.5,0.25,0.5,0.000921,0.001861,0.004549
100,0.5,0.5,0.5,0.000892,0.001845,0.013482
100,0.75,0.1,0.5,0.000904,0.001864,0.002042
100,0.75,0.25,0.5,0.000983,0.001948,0.004612
100,0.75,0.5,0.5,0.000876,0.001753,0.014346
500,0.25,0.1,-0.5,0.000179,0.001193,0.000681
500,0.25,0.25,-0.5,0.000187,0.001181,0.000604
500,0.25,0.5,-0.5,0.00019,0.001201,0.002703
500,0.5,0.1,-0.5,0.000174,0.001181,0.000371
500,0.5,0.25,-0.5,0.000171,0.00117,0.000404
500,0.5,0.5,-0.5,0.000178,0.001207,0.002676
500,0.75,0.1,-0.5,0.000188,0.001226,0.000323
500,0.75,0.25,-0.5,0.000182,0.001156,0.00043
500,0.75,0.5,-0.5,0.000181,0.0012,0.002799
500,0.25,0.1,0,0.000172,0.001166,0.00067
500,0.25,0.25,0,0.000189,0.001158,0.001299
500,0.25,0.5,0,0.000174,0.001205,0.006669
500,0.5,0.1,0,0.00018,0.001179,0.000333
500,0.5,0.25,0,0.000176,0.001173,0.001077
500,0.5,0.5,0,0.000188,0.001195,0.006448
500,0.75,0.1,0,0.00018,0.001153,0.000276
500,0.75,0.25,0,0.000171,0.001185,0.001009
500,0.75,0.5,0,0.00018,0.001199,0.006606
500,0.25,0.1,0.5,0.000181,0.001184,0.001006
500,0.25,0.25,0.5,0.000175,0.001162,0.003367
500,0.25,0.5,0.5,0.000186,0.001149,0.011657
500,0.5,0.1,0.5,0.000177,0.001217,0.00067
500,0.5,0.25,0.5,0.000187,0.001231,0.003057
500,0.5,0.5,0.5,0.000181,0.001172,0.011361
500,0.75,0.1,0.5,0.000182,0.001208,0.00059
500,0.75,0.25,0.5,0.000198,0.001171,0.002982
500,0.75,0.5,0.5,0.000184,0.001185,0.011469
