"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,16,-0.5,0,0,0.011052,0.018212,0.015651,0.011052,0.018212,0.015651,0.000154,0.000396,0.000411,3.2e-05,6.4e-05,0.000167,"dir",0.011052,0.000154,3.2e-05
100,0.25,16,-0.5,0.1,0.001148,0.01955,0.030486,0.02414,0.018402,0.029338,0.022991,0.000406,0.000982,0.000819,6.7e-05,0.000122,0.000291,"dir",0.018402,0.000406,6.7e-05
100,0.25,16,-0.5,0.2,0.007926,0.032487,0.048066,0.036272,0.02456,0.04014,0.028346,0.000728,0.001817,0.00128,0.000125,0.000206,0.000478,"dir",0.02456,0.000728,0.000125
100,0.25,16,-0.5,0.3,0.023115,0.050853,0.071646,0.052963,0.027737,0.04853,0.029848,0.000978,0.002675,0.001625,0.000209,0.000321,0.000735,"dir",0.027737,0.000978,0.000209
100,0.25,16,-0.5,0.4,0.047423,0.075284,0.101438,0.074992,0.027861,0.054015,0.027569,0.001098,0.003381,0.001831,0.000322,0.000464,0.001073,"dir",0.027861,0.001098,0.000322
100,0.25,16,-0.5,0.5,0.080301,0.105924,0.137148,0.102828,0.025623,0.056847,0.022526,0.001119,0.003865,0.002003,0.000464,0.000635,0.001499,"dir",0.025623,0.001119,0.000464
100,0.25,16,-0.5,0.6,0.120513,0.142416,0.178052,0.136513,0.021903,0.05754,0.016,0.001111,0.004134,0.002276,0.000632,0.000825,0.002024,"dir",0.021903,0.001111,0.000632
100,0.25,16,-0.5,0.7,0.166502,0.183983,0.223121,0.175629,0.017481,0.056619,0.009127,0.001126,0.004229,0.002735,0.000822,0.001026,0.002657,"dir",0.017481,0.001126,0.000822
100,0.25,16,-0.5,0.8,0.216642,0.229565,0.271152,0.219354,0.012923,0.05451,0.002712,0.00119,0.004191,0.003394,0.001025,0.001223,0.003393,"dir",0.012923,0.00119,0.001025
100,0.25,16,-0.5,0.9,0.269379,0.27794,0.320902,0.266604,0.008562,0.051524,-0.002775,0.001299,0.00405,0.004187,0.001228,0.001398,0.004187,"dir",0.008562,0.001299,0.001228
100,0.25,16,-0.5,1,0.323324,0.327869,0.37122,0.316209,0.004545,0.047897,-0.007115,0.001429,0.003824,0.004975,0.001411,0.001533,0.004934,"dir",0.004545,0.001429,0.001411
100,0.25,16,-0.5,1.1,0.377286,0.378213,0.421133,0.367021,0.000927,0.043846,-0.010265,0.001555,0.003543,0.005633,0.001557,0.001623,0.005539,"dir",0.000927,0.001555,0.001557
100,0.25,16,-0.5,1.2,0.430291,0.428028,0.469889,0.417929,-0.002264,0.039598,-0.012362,0.001664,0.003245,0.006146,0.001662,0.001681,0.006005,"dir",-0.002264,0.001664,0.001662
100,0.25,16,-0.5,1.3,0.48157,0.476589,0.516944,0.467886,-0.004982,0.035373,-0.013685,0.001758,0.002962,0.006565,0.001736,0.001715,0.00639,"dir",-0.004982,0.001758,0.001736
100,0.25,16,-0.5,1.4,0.530546,0.523376,0.5619,0.516038,-0.00717,0.031354,-0.014508,0.001833,0.002708,0.006901,0.001785,0.001728,0.006703,"dir",-0.00717,0.001833,0.001785
100,0.25,16,-0.5,1.5,0.57681,0.568009,0.604444,0.561825,-0.0088,0.027634,-0.014985,0.001883,0.00248,0.007123,0.00181,0.00172,0.006912,"dir",-0.0088,0.001883,0.00181
100,0.25,16,-0.5,1.6,0.620096,0.610188,0.64432,0.604922,-0.009909,0.024224,-0.015175,0.001902,0.002269,0.007201,0.001807,0.001685,0.006984,"dir",-0.009909,0.001902,0.001807
100,0.25,16,-0.5,1.7,0.66026,0.649667,0.681359,0.64514,-0.010593,0.021099,-0.01512,0.001881,0.002058,0.007115,0.001773,0.001616,0.0069,"dir",-0.010593,0.001881,0.001773
100,0.25,16,-0.5,1.8,0.697253,0.686297,0.715512,0.682396,-0.010956,0.018259,-0.014857,0.001817,0.001848,0.006877,0.001701,0.001517,0.00667,"dir",-0.010956,0.001817,0.001701
100,0.25,16,-0.5,1.9,0.731103,0.720044,0.746837,0.716692,-0.011059,0.015733,-0.014412,0.001717,0.001648,0.006537,0.001598,0.001403,0.006342,"dir",-0.011059,0.001717,0.001598
100,0.25,16,-0.5,2,0.761897,0.750976,0.775445,0.748085,-0.010921,0.013548,-0.013812,0.001597,0.001469,0.006157,0.001481,0.001288,0.005979,"dir",-0.010921,0.001597,0.001481
100,0.25,16,-0.5,2.1,0.789762,0.779204,0.801456,0.776664,-0.010558,0.011694,-0.013098,0.001472,0.001314,0.005772,0.001363,0.00118,0.005612,"dir",-0.010558,0.001472,0.001363
100,0.25,16,-0.5,2.2,0.814858,0.804849,0.824988,0.802557,-0.010009,0.01013,-0.012301,0.001348,0.00118,0.005375,0.00125,0.00108,0.005234,"dir",-0.010009,0.001348,0.00125
100,0.25,16,-0.5,2.3,0.837361,0.82803,0.846167,0.825926,-0.009331,0.008806,-0.011435,0.00123,0.001062,0.004951,0.001145,0.000987,0.00483,"dir",-0.009331,0.00123,0.001145
100,0.25,16,-0.5,2.4,0.857461,0.848877,0.865139,0.846959,-0.008583,0.007678,-0.010502,0.001117,0.000955,0.004508,0.001045,0.000898,0.004406,"dir",-0.008583,0.001117,0.001045
100,0.25,16,-0.5,2.5,0.875348,0.867537,0.882058,0.865835,-0.007811,0.00671,-0.009513,0.001008,0.000856,0.004063,0.000949,0.000813,0.003981,"dir",-0.007811,0.001008,0.000949
100,0.25,16,-0.5,2.6,0.891213,0.884169,0.897086,0.882711,-0.007045,0.005873,-0.008502,0.000904,0.000762,0.003632,0.000856,0.000729,0.003567,"dir",-0.007045,0.000904,0.000856
100,0.25,16,-0.5,2.7,0.905242,0.898932,0.910386,0.897716,-0.00631,0.005144,-0.007527,0.000803,0.000671,0.003224,0.000765,0.000646,0.003174,"dir",-0.00631,0.000803,0.000765
100,0.25,16,-0.5,2.8,0.917612,0.911992,0.922124,0.910964,-0.00562,0.004513,-0.006647,0.000705,0.000583,0.002845,0.000675,0.000564,0.002807,"dir",-0.00562,0.000705,0.000675
