"n","p1","maxc","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.1,-0.5,0,0,0.019569,0.048972,0.021223,0.019569,0.048972,0.021223,0.000445,0.002609,0.000682,6.2e-05,0.000211,0.000232,"dir",0.019569,0.000445,6.2e-05
100,0.25,0.1,-0.5,0.05,0.032774,0.059505,0.115054,0.056106,0.026731,0.082281,0.023332,0.000944,0.007319,0.001294,0.00023,0.00055,0.000751,"dir",0.026731,0.000944,0.00023
100,0.25,0.1,-0.5,0.1,0.114265,0.132298,0.210251,0.121278,0.018033,0.095986,0.007013,0.00089,0.010245,0.001846,0.000566,0.001033,0.001801,"dir",0.018033,0.00089,0.000566
100,0.25,0.1,-0.5,0.15,0.223516,0.232177,0.321832,0.217456,0.008661,0.098316,-0.006059,0.001133,0.011168,0.003462,0.00106,0.001505,0.003432,"dir",0.008661,0.001133,0.00106
100,0.25,0.1,-0.5,0.2,0.34464,0.345566,0.437164,0.333789,0.000926,0.092524,-0.010851,0.001547,0.010281,0.005482,0.001549,0.001724,0.005375,"dir",0.000926,0.001547,0.001549
100,0.25,0.1,-0.5,0.25,0.466064,0.460658,0.548558,0.455413,-0.005407,0.082494,-0.010651,0.001809,0.008479,0.006847,0.001783,0.001677,0.006747,"dir",-0.005407,0.001809,0.001783
100,0.25,0.1,-0.5,0.3,0.579825,0.570551,0.650746,0.572204,-0.009274,0.070921,-0.007621,0.001872,0.006575,0.007058,0.00179,0.001548,0.007013,"dir",-0.009274,0.001872,0.00179
100,0.25,0.1,-0.5,0.35,0.68092,0.670155,0.739394,0.677142,-0.010765,0.058474,-0.003778,0.001795,0.004739,0.006315,0.001683,0.001323,0.006313,"dir",-0.010765,0.001795,0.001683
100,0.25,0.1,-0.5,0.4,0.76672,0.75564,0.812627,0.765638,-0.01108,0.045907,-0.001082,0.001558,0.003143,0.005053,0.001438,0.001038,0.005062,"dir",-0.01108,0.001558,0.001438
100,0.25,0.1,-0.5,0.45,0.836433,0.82562,0.870773,0.836762,-0.010812,0.034341,0.00033,0.001239,0.001923,0.003677,0.001124,0.000745,0.003684,"dir",-0.010812,0.001239,0.001124
100,0.25,0.1,-0.5,0.5,0.890625,0.880735,0.915186,0.891684,-0.00989,0.024561,0.001059,0.000896,0.001104,0.002502,8e-04,0.000502,0.002506,"dir",-0.00989,0.000896,8e-04
