"n","p1","a","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,20,-0.5,-4,3.2e-05,9.1e-05,0.000135,0.000122,5.9e-05,0.000103,9e-05,0,0,0,0,0,0,"dir",5.9e-05,0,0
100,0.25,20,-0.5,-3.9,4.8e-05,0.000132,0.000194,0.000176,8.4e-05,0.000146,0.000128,0,1e-06,1e-06,0,0,1e-06,"dir",8.4e-05,0,0
100,0.25,20,-0.5,-3.8,7.2e-05,0.00019,0.000279,0.000252,0.000118,0.000207,0.000179,0,1e-06,1e-06,0,1e-06,1e-06,"dir",0.000118,0,0
100,0.25,20,-0.5,-3.7,0.000108,0.000273,0.000398,0.000355,0.000166,0.00029,0.000247,1e-06,1e-06,2e-06,1e-06,1e-06,2e-06,"dir",0.000166,1e-06,1e-06
100,0.25,20,-0.5,-3.6,0.000159,0.000391,0.000565,0.000493,0.000232,0.000406,0.000334,1e-06,2e-06,3e-06,1e-06,2e-06,3e-06,"dir",0.000232,1e-06,1e-06
100,0.25,20,-0.5,-3.5,0.000233,0.000556,0.000795,0.000678,0.000323,0.000563,0.000446,2e-06,3e-06,5e-06,2e-06,2e-06,5e-06,"dir",0.000323,2e-06,2e-06
100,0.25,20,-0.5,-3.4,0.000337,0.000784,0.00111,0.000924,0.000447,0.000773,0.000587,3e-06,4e-06,7e-06,2e-06,4e-06,7e-06,"dir",0.000447,3e-06,2e-06
100,0.25,20,-0.5,-3.3,0.000483,0.001095,0.001531,0.001248,0.000612,0.001048,0.000765,4e-06,6e-06,1.1e-05,4e-06,5e-06,1.1e-05,"dir",0.000612,4e-06,4e-06
100,0.25,20,-0.5,-3.2,0.000687,0.001513,0.002086,0.001674,0.000826,0.001399,0.000987,6e-06,1e-05,1.7e-05,5e-06,8e-06,1.6e-05,"dir",0.000826,6e-06,5e-06
100,0.25,20,-0.5,-3.1,0.000968,0.002063,0.002807,0.002231,0.001096,0.00184,0.001263,9e-06,1.4e-05,2.5e-05,7e-06,1.1e-05,2.3e-05,"dir",0.001096,9e-06,7e-06
100,0.25,20,-0.5,-3,0.00135,0.002779,0.003733,0.002954,0.001429,0.002383,0.001604,1.3e-05,2.1e-05,3.6e-05,1.1e-05,1.5e-05,3.3e-05,"dir",0.001429,1.3e-05,1.1e-05
100,0.25,20,-0.5,-2.9,0.001866,0.003699,0.00491,0.003887,0.001833,0.003045,0.002021,1.8e-05,3.1e-05,5.2e-05,1.5e-05,2.2e-05,4.8e-05,"dir",0.001833,1.8e-05,1.5e-05
100,0.25,20,-0.5,-2.8,0.002555,0.00487,0.006396,0.005078,0.002315,0.003841,0.002523,2.6e-05,4.4e-05,7.5e-05,2.1e-05,3e-05,6.9e-05,"dir",0.002315,2.6e-05,2.1e-05
100,0.25,20,-0.5,-2.7,0.003467,0.006349,0.008257,0.006585,0.002882,0.00479,0.003118,3.7e-05,6.3e-05,0.000106,2.9e-05,4e-05,9.7e-05,"dir",0.002882,3.7e-05,2.9e-05
100,0.25,20,-0.5,-2.6,0.004661,0.008203,0.010572,0.008473,0.003542,0.005911,0.003812,5.1e-05,8.9e-05,0.000149,3.9e-05,5.5e-05,0.000135,"dir",0.003542,5.1e-05,3.9e-05
100,0.25,20,-0.5,-2.5,0.00621,0.010512,0.013432,0.010819,0.004302,0.007222,0.004609,7.1e-05,0.000124,0.000206,5.2e-05,7.2e-05,0.000185,"dir",0.004302,7.1e-05,5.2e-05
100,0.25,20,-0.5,-2.4,0.008198,0.013365,0.016937,0.013712,0.005168,0.008739,0.005514,9.6e-05,0.000171,0.00028,6.9e-05,9.5e-05,0.00025,"dir",0.005168,9.6e-05,6.9e-05
100,0.25,20,-0.5,-2.3,0.010724,0.016865,0.021199,0.017251,0.006141,0.010475,0.006527,0.000128,0.000232,0.000375,9.1e-05,0.000122,0.000333,"dir",0.006141,0.000128,9.1e-05
100,0.25,20,-0.5,-2.2,0.013903,0.021122,0.026338,0.021551,0.007218,0.012435,0.007648,0.000169,0.00031,0.000495,0.000117,0.000156,0.000438,"dir",0.007218,0.000169,0.000117
100,0.25,20,-0.5,-2.1,0.017864,0.026255,0.03248,0.026733,0.008391,0.014616,0.008869,0.000219,0.00041,0.000646,0.000149,0.000197,0.000568,"dir",0.008391,0.000219,0.000149
100,0.25,20,-0.5,-2,0.02275,0.032393,0.039756,0.032925,0.009642,0.017006,0.010175,0.00028,0.000534,0.00083,0.000187,0.000245,0.000728,"dir",0.009642,0.00028,0.000187
100,0.25,20,-0.5,-1.9,0.028717,0.039664,0.048298,0.040252,0.010948,0.019582,0.011535,0.000352,0.000683,0.00105,0.000233,3e-04,0.000918,"dir",0.010948,0.000352,0.000233
100,0.25,20,-0.5,-1.8,0.03593,0.048204,0.058243,0.048837,0.012274,0.022313,0.012906,0.000435,0.000861,0.001307,0.000285,0.000364,0.001143,"dir",0.012274,0.000435,0.000285
100,0.25,20,-0.5,-1.7,0.044565,0.058147,0.069724,0.058801,0.013581,0.025158,0.014236,0.000529,0.001066,0.001602,0.000345,0.000434,0.001402,"dir",0.013581,0.000529,0.000345
100,0.25,20,-0.5,-1.6,0.054799,0.069627,0.082873,0.070271,0.014828,0.028074,0.015472,0.00063,0.0013,0.001931,0.000411,0.000512,0.001695,"dir",0.014828,0.00063,0.000411
100,0.25,20,-0.5,-1.5,0.066807,0.082778,0.097816,0.08337,0.015971,0.031008,0.016563,0.000739,0.001558,0.002291,0.000485,0.000598,0.002021,"dir",0.015971,0.000739,0.000485
100,0.25,20,-0.5,-1.4,0.080757,0.097725,0.114657,0.098218,0.016968,0.0339,0.017461,0.000852,0.001837,0.002682,0.000565,0.000689,0.002382,"dir",0.016968,0.000852,0.000565
100,0.25,20,-0.5,-1.3,0.0968,0.114572,0.13348,0.11492,0.017772,0.036679,0.01812,0.000966,0.00213,0.003104,0.000652,0.000786,0.002782,"dir",0.017772,0.000966,0.000652
100,0.25,20,-0.5,-1.2,0.11507,0.133403,0.154341,0.133568,0.018333,0.039272,0.018498,0.001078,0.002429,0.003558,0.000743,0.000889,0.003222,"dir",0.018333,0.001078,0.000743
100,0.25,20,-0.5,-1.1,0.135666,0.154275,0.177271,0.154227,0.018609,0.041605,0.018561,0.001186,0.002728,0.004039,0.000841,0.000999,0.003702,"dir",0.018609,0.001186,0.000841
100,0.25,20,-0.5,-1,0.158655,0.177216,0.202263,0.176933,0.018561,0.043608,0.018277,0.001289,0.003016,0.00454,0.000946,0.001117,0.004214,"dir",0.018561,0.001289,0.000946
100,0.25,20,-0.5,-0.9,0.18406,0.202223,0.229276,0.201697,0.018162,0.045216,0.017636,0.001389,0.003286,0.005054,0.001061,0.001244,0.004753,"dir",0.018162,0.001389,0.001061
100,0.25,20,-0.5,-0.8,0.211855,0.229252,0.258224,0.228511,0.017396,0.046369,0.016655,0.001487,0.003526,0.005573,0.001186,0.001378,0.005306,"dir",0.017396,0.001487,0.001186
100,0.25,20,-0.5,-0.7,0.241964,0.258218,0.288976,0.257349,0.016254,0.047012,0.015385,0.001582,0.00372,0.006084,0.00132,0.001513,0.005859,"dir",0.016254,0.001582,0.00132
100,0.25,20,-0.5,-0.6,0.274253,0.288988,0.321352,0.288154,0.014735,0.047099,0.0139,0.00167,0.003854,0.006562,0.001456,0.001639,0.006382,"dir",0.014735,0.00167,0.001456
100,0.25,20,-0.5,-0.5,0.308538,0.321383,0.355131,0.32081,0.012845,0.046594,0.012272,0.001748,0.003915,0.006981,0.001586,0.001747,0.006844,"dir",0.012845,0.001748,0.001586
100,0.25,20,-0.5,-0.4,0.344578,0.355181,0.390072,0.355116,0.010603,0.045493,0.010537,0.00181,0.003897,0.007318,0.001701,0.001831,0.007221,"dir",0.010603,0.00181,0.001701
100,0.25,20,-0.5,-0.3,0.382089,0.390137,0.425921,0.390771,0.008049,0.043832,0.008682,0.001856,0.003803,0.007559,0.001795,0.001886,0.007499,"dir",0.008049,0.001856,0.001795
