"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.25,0.1,-0.5,"Direct",0.25,0.161163,0.159966,-0.001197,0.000342,0.000341
100,0.25,0.1,-0.5,"Direct",0.5,0.26445,0.261738,-0.002712,0.000497,0.000491
100,0.25,0.1,-0.5,"Direct",0.75,0.389479,0.383132,-0.006347,0.000747,0.000709
100,0.25,0.1,-0.5,"IST",0.25,0.161163,0.173764,0.012601,0.001066,0.000909
100,0.25,0.1,-0.5,"IST",0.5,0.26445,0.2675,0.00305,0.001473,0.001467
100,0.25,0.1,-0.5,"IST",0.75,0.389479,0.382548,-0.006931,0.002292,0.002248
100,0.25,0.1,0,"Direct",0.25,0.161163,0.159854,-0.001309,0.000316,0.000315
100,0.25,0.1,0,"Direct",0.5,0.26445,0.26163,-0.00282,0.000452,0.000445
100,0.25,0.1,0,"Direct",0.75,0.389479,0.384728,-0.004751,0.000676,0.000655
100,0.25,0.1,0,"IST",0.25,0.161163,0.165,0.003837,0.001283,0.001271
100,0.25,0.1,0,"IST",0.5,0.26445,0.268374,0.003924,0.001765,0.001753
100,0.25,0.1,0,"IST",0.75,0.389479,0.394788,0.005309,0.002458,0.002435
100,0.25,0.1,0.5,"Direct",0.25,0.161163,0.160376,-0.000787,0.000352,0.000352
100,0.25,0.1,0.5,"Direct",0.5,0.26445,0.264356,-9.4e-05,0.000468,0.000469
100,0.25,0.1,0.5,"Direct",0.75,0.389479,0.386998,-0.002481,0.000695,0.00069
100,0.25,0.1,0.5,"IST",0.25,0.161163,0.156312,-0.004851,0.001528,0.001507
100,0.25,0.1,0.5,"IST",0.5,0.26445,0.270692,0.006242,0.001896,0.001861
100,0.25,0.1,0.5,"IST",0.75,0.389479,0.406398,0.016919,0.003154,0.002873
100,0.25,0.25,-0.5,"Direct",0.25,0.161163,0.158012,-0.003151,0.000339,0.000329
100,0.25,0.25,-0.5,"Direct",0.5,0.26445,0.260812,-0.003638,0.00049,0.000478
100,0.25,0.25,-0.5,"Direct",0.75,0.389479,0.384426,-0.005053,0.000719,0.000695
100,0.25,0.25,-0.5,"IST",0.25,0.161163,0.17402,0.012857,0.000947,0.000783
100,0.25,0.25,-0.5,"IST",0.5,0.26445,0.274184,0.009734,0.001109,0.001016
100,0.25,0.25,-0.5,"IST",0.75,0.389479,0.386502,-0.002977,0.001566,0.00156
100,0.25,0.25,0,"Direct",0.25,0.161163,0.161462,0.000299,0.000299,3e-04
100,0.25,0.25,0,"Direct",0.5,0.26445,0.264076,-0.000374,0.000427,0.000427
