"n","pA","sdC1","sdC2","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.25,0.05,0.05,-0.5,"Direct",0.25,0.86365,0.943,0.07935,0.006296,NA
100,0.25,0.05,0.05,-0.5,"Direct",0.5,1.33703,1.545,0.20797,0.043251,NA
100,0.25,0.05,0.05,-0.5,"Direct",0.75,1.960201,2.185,0.224799,0.050535,NA
100,0.25,0.05,0.05,-0.5,"ISDLT",0.25,0.86365,0.959,0.09535,0.009092,NA
100,0.25,0.05,0.05,-0.5,"ISDLT",0.5,1.33703,1.569,0.23197,0.05381,NA
100,0.25,0.05,0.05,-0.5,"ISDLT",0.75,1.960201,2.203,0.242799,0.058951,NA
100,0.25,0.05,0.05,0,"Direct",0.25,0.86365,0.907,0.04335,0.001879,NA
100,0.25,0.05,0.05,0,"Direct",0.5,1.33703,1.396,0.05897,0.003477,NA
100,0.25,0.05,0.05,0,"Direct",0.75,1.960201,2.097,0.136799,0.018714,NA
100,0.25,0.05,0.05,0,"ISDLT",0.25,0.86365,0.881,0.01735,0.000301,NA
100,0.25,0.05,0.05,0,"ISDLT",0.5,1.33703,1.44,0.10297,0.010603,NA
100,0.25,0.05,0.05,0,"ISDLT",0.75,1.960201,2.149,0.188799,0.035645,NA
100,0.25,0.05,0.05,0.5,"Direct",0.25,0.86365,0.918,0.05435,0.002954,NA
100,0.25,0.05,0.05,0.5,"Direct",0.5,1.33703,1.411,0.07397,0.005472,NA
100,0.25,0.05,0.05,0.5,"Direct",0.75,1.960201,1.969,0.008799,7.7e-05,NA
100,0.25,0.05,0.05,0.5,"ISDLT",0.25,0.86365,0.977,0.11335,0.012848,NA
100,0.25,0.05,0.05,0.5,"ISDLT",0.5,1.33703,1.482,0.14497,0.021016,NA
100,0.25,0.05,0.05,0.5,"ISDLT",0.75,1.960201,2.151,0.190799,0.036404,NA
100,0.25,0.05,0.25,-0.5,"Direct",0.25,0.86365,0.819,-0.04465,0.001994,NA
100,0.25,0.05,0.25,-0.5,"Direct",0.5,1.33703,1.236,-0.10103,0.010207,NA
100,0.25,0.05,0.25,-0.5,"Direct",0.75,1.960201,2.003,0.042799,0.001832,NA
100,0.25,0.05,0.25,-0.5,"ISDLT",0.25,0.86365,0.889,0.02535,0.000643,NA
100,0.25,0.05,0.25,-0.5,"ISDLT",0.5,1.33703,1.357,0.01997,0.000399,NA
100,0.25,0.05,0.25,-0.5,"ISDLT",0.75,1.960201,2.002,0.041799,0.001747,NA
100,0.25,0.05,0.25,0,"Direct",0.25,0.86365,0.93,0.06635,0.004402,NA
100,0.25,0.05,0.25,0,"Direct",0.5,1.33703,1.475,0.13797,0.019036,NA
100,0.25,0.05,0.25,0,"Direct",0.75,1.960201,1.971,0.010799,0.000117,NA
100,0.25,0.05,0.25,0,"ISDLT",0.25,0.86365,1.011,0.14735,0.021712,NA
100,0.25,0.05,0.25,0,"ISDLT",0.5,1.33703,1.599,0.26197,0.068628,NA
100,0.25,0.05,0.25,0,"ISDLT",0.75,1.960201,2.078,0.117799,0.013877,NA
100,0.25,0.05,0.25,0.5,"Direct",0.25,0.86365,0.89,0.02635,0.000694,NA
100,0.25,0.05,0.25,0.5,"Direct",0.5,1.33703,1.377,0.03997,0.001598,NA
100,0.25,0.05,0.25,0.5,"Direct",0.75,1.960201,2,0.039799,0.001584,NA
100,0.25,0.05,0.25,0.5,"ISDLT",0.25,0.86365,0.97,0.10635,0.01131,NA
100,0.25,0.05,0.25,0.5,"ISDLT",0.5,1.33703,1.446,0.10897,0.011874,NA
100,0.25,0.05,0.25,0.5,"ISDLT",0.75,1.960201,2.372,0.411799,0.169578,NA
100,0.25,0.05,0.5,-0.5,"Direct",0.25,0.86365,0.804,-0.05965,0.003558,NA
100,0.25,0.05,0.5,-0.5,"Direct",0.5,1.33703,1.276,-0.06103,0.003725,NA
100,0.25,0.05,0.5,-0.5,"Direct",0.75,1.960201,1.726,-0.234201,0.05485,NA
100,0.25,0.05,0.5,-0.5,"ISDLT",0.25,0.86365,0.932,0.06835,0.004672,NA
100,0.25,0.05,0.5,-0.5,"ISDLT",0.5,1.33703,1.402,0.06497,0.004221,NA
100,0.25,0.05,0.5,-0.5,"ISDLT",0.75,1.960201,2.093,0.132799,0.017636,NA
100,0.25,0.05,0.5,0,"Direct",0.25,0.86365,0.735,-0.12865,0.016551,NA
100,0.25,0.05,0.5,0,"Direct",0.5,1.33703,1.179,-0.15803,0.024974,NA
100,0.25,0.05,0.5,0,"Direct",0.75,1.960201,1.799,-0.161201,0.025986,NA
100,0.25,0.05,0.5,0,"ISDLT",0.25,0.86365,0.771,-0.09265,0.008584,NA
100,0.25,0.05,0.5,0,"ISDLT",0.5,1.33703,1.307,-0.03003,0.000902,NA
100,0.25,0.05,0.5,0,"ISDLT",0.75,1.960201,1.877,-0.083201,0.006922,NA
100,0.25,0.05,0.5,0.5,"Direct",0.25,0.86365,0.818,-0.04565,0.002084,NA
100,0.25,0.05,0.5,0.5,"Direct",0.5,1.33703,1.296,-0.04103,0.001683,NA
100,0.25,0.05,0.5,0.5,"Direct",0.75,1.960201,1.795,-0.165201,0.027291,NA
100,0.25,0.05,0.5,0.5,"ISDLT",0.25,0.86365,0.749,-0.11465,0.013145,NA
100,0.25,0.05,0.5,0.5,"ISDLT",0.5,1.33703,1.249,-0.08803,0.007749,NA
100,0.25,0.05,0.5,0.5,"ISDLT",0.75,1.960201,1.956,-0.004201,1.8e-05,NA
100,0.25,0.1,0.05,-0.5,"Direct",0.25,0.86365,0.9,0.03635,0.001321,NA
100,0.25,0.1,0.05,-0.5,"Direct",0.5,1.33703,1.418,0.08097,0.006556,NA
100,0.25,0.1,0.05,-0.5,"Direct",0.75,1.960201,2.083,0.122799,0.01508,NA
100,0.25,0.1,0.05,-0.5,"ISDLT",0.25,0.86365,1.003,0.13935,0.019419,NA
100,0.25,0.1,0.05,-0.5,"ISDLT",0.5,1.33703,1.456,0.11897,0.014154,NA
100,0.25,0.1,0.05,-0.5,"ISDLT",0.75,1.960201,2.169,0.208799,0.043597,NA
100,0.25,0.1,0.05,0,"Direct",0.25,0.86365,0.87,0.00635,4e-05,NA
100,0.25,0.1,0.05,0,"Direct",0.5,1.33703,1.33,-0.00703,4.9e-05,NA
100,0.25,0.1,0.05,0,"Direct",0.75,1.960201,1.93,-0.030201,0.000912,NA
100,0.25,0.1,0.05,0,"ISDLT",0.25,0.86365,0.904,0.04035,0.001628,NA
100,0.25,0.1,0.05,0,"ISDLT",0.5,1.33703,1.345,0.00797,6.4e-05,NA
100,0.25,0.1,0.05,0,"ISDLT",0.75,1.960201,2.046,0.085799,0.007361,NA
100,0.25,0.1,0.05,0.5,"Direct",0.25,0.86365,1.021,0.15735,0.024759,NA
100,0.25,0.1,0.05,0.5,"Direct",0.5,1.33703,1.377,0.03997,0.001598,NA
100,0.25,0.1,0.05,0.5,"Direct",0.75,1.960201,1.813,-0.147201,0.021668,NA
100,0.25,0.1,0.05,0.5,"ISDLT",0.25,0.86365,0.962,0.09835,0.009673,NA
100,0.25,0.1,0.05,0.5,"ISDLT",0.5,1.33703,1.413,0.07597,0.005771,NA
100,0.25,0.1,0.05,0.5,"ISDLT",0.75,1.960201,1.961,0.000799,1e-06,NA
100,0.25,0.1,0.25,-0.5,"Direct",0.25,0.86365,0.926,0.06235,0.003888,NA
100,0.25,0.1,0.25,-0.5,"Direct",0.5,1.33703,1.37,0.03297,0.001087,NA
100,0.25,0.1,0.25,-0.5,"Direct",0.75,1.960201,1.917,-0.043201,0.001866,NA
100,0.25,0.1,0.25,-0.5,"ISDLT",0.25,0.86365,0.98,0.11635,0.013537,NA
100,0.25,0.1,0.25,-0.5,"ISDLT",0.5,1.33703,1.501,0.16397,0.026886,NA
100,0.25,0.1,0.25,-0.5,"ISDLT",0.75,1.960201,1.988,0.027799,0.000773,NA
100,0.25,0.1,0.25,0,"Direct",0.25,0.86365,0.765,-0.09865,0.009732,NA
100,0.25,0.1,0.25,0,"Direct",0.5,1.33703,1.275,-0.06203,0.003848,NA
100,0.25,0.1,0.25,0,"Direct",0.75,1.960201,1.775,-0.185201,0.034299,NA
100,0.25,0.1,0.25,0,"ISDLT",0.25,0.86365,0.875,0.01135,0.000129,NA
100,0.25,0.1,0.25,0,"ISDLT",0.5,1.33703,1.328,-0.00903,8.2e-05,NA
100,0.25,0.1,0.25,0,"ISDLT",0.75,1.960201,1.963,0.002799,8e-06,NA
100,0.25,0.1,0.25,0.5,"Direct",0.25,0.86365,0.922,0.05835,0.003405,NA
100,0.25,0.1,0.25,0.5,"Direct",0.5,1.33703,1.337,-3e-05,0,NA
100,0.25,0.1,0.25,0.5,"Direct",0.75,1.960201,1.676,-0.284201,0.08077,NA
100,0.25,0.1,0.25,0.5,"ISDLT",0.25,0.86365,0.82,-0.04365,0.001905,NA
100,0.25,0.1,0.25,0.5,"ISDLT",0.5,1.33703,1.23,-0.10703,0.011455,NA
100,0.25,0.1,0.25,0.5,"ISDLT",0.75,1.960201,1.797,-0.163201,0.026635,NA
100,0.25,0.1,0.5,-0.5,"Direct",0.25,0.86365,0.876,0.01235,0.000153,NA
100,0.25,0.1,0.5,-0.5,"Direct",0.5,1.33703,1.343,0.00597,3.6e-05,NA
100,0.25,0.1,0.5,-0.5,"Direct",0.75,1.960201,1.902,-0.058201,0.003387,NA
100,0.25,0.1,0.5,-0.5,"ISDLT",0.25,0.86365,0.828,-0.03565,0.001271,NA
100,0.25,0.1,0.5,-0.5,"ISDLT",0.5,1.33703,1.306,-0.03103,0.000963,NA
100,0.25,0.1,0.5,-0.5,"ISDLT",0.75,1.960201,2.008,0.047799,0.002285,NA
100,0.25,0.1,0.5,0,"Direct",0.25,0.86365,0.762,-0.10165,0.010333,NA
100,0.25,0.1,0.5,0,"Direct",0.5,1.33703,1.266,-0.07103,0.005045,NA
100,0.25,0.1,0.5,0,"Direct",0.75,1.960201,2.188,0.227799,0.051892,NA
100,0.25,0.1,0.5,0,"ISDLT",0.25,0.86365,0.788,-0.07565,0.005723,NA
100,0.25,0.1,0.5,0,"ISDLT",0.5,1.33703,1.473,0.13597,0.018488,NA
100,0.25,0.1,0.5,0,"ISDLT",0.75,1.960201,2.331,0.370799,0.137492,NA
100,0.25,0.1,0.5,0.5,"Direct",0.25,0.86365,0.885,0.02135,0.000456,NA
100,0.25,0.1,0.5,0.5,"Direct",0.5,1.33703,1.341,0.00397,1.6e-05,NA
100,0.25,0.1,0.5,0.5,"Direct",0.75,1.960201,2.189,0.228799,0.052349,NA
100,0.25,0.1,0.5,0.5,"ISDLT",0.25,0.86365,0.909,0.04535,0.002057,NA
100,0.25,0.1,0.5,0.5,"ISDLT",0.5,1.33703,1.513,0.17597,0.030965,NA
100,0.25,0.1,0.5,0.5,"ISDLT",0.75,1.960201,2.474,0.513799,0.263989,NA
100,0.25,0.5,0.05,-0.5,"Direct",0.25,0.86365,0.867,0.00335,1.1e-05,NA
100,0.25,0.5,0.05,-0.5,"Direct",0.5,1.33703,1.35,0.01297,0.000168,NA
100,0.25,0.5,0.05,-0.5,"Direct",0.75,1.960201,1.912,-0.048201,0.002323,NA
100,0.25,0.5,0.05,-0.5,"ISDLT",0.25,0.86365,0.89,0.02635,0.000694,NA
100,0.25,0.5,0.05,-0.5,"ISDLT",0.5,1.33703,1.378,0.04097,0.001679,NA
100,0.25,0.5,0.05,-0.5,"ISDLT",0.75,1.960201,1.973,0.012799,0.000164,NA
100,0.25,0.5,0.05,0,"Direct",0.25,0.86365,0.847,-0.01665,0.000277,NA
100,0.25,0.5,0.05,0,"Direct",0.5,1.33703,1.261,-0.07603,0.005781,NA
100,0.25,0.5,0.05,0,"Direct",0.75,1.960201,1.749,-0.211201,0.044606,NA
100,0.25,0.5,0.05,0,"ISDLT",0.25,0.86365,0.905,0.04135,0.00171,NA
100,0.25,0.5,0.05,0,"ISDLT",0.5,1.33703,1.42,0.08297,0.006884,NA
100,0.25,0.5,0.05,0,"ISDLT",0.75,1.960201,2.064,0.103799,0.010774,NA
100,0.25,0.5,0.05,0.5,"Direct",0.25,0.86365,0.794,-0.06965,0.004851,NA
100,0.25,0.5,0.05,0.5,"Direct",0.5,1.33703,1.241,-0.09603,0.009222,NA
100,0.25,0.5,0.05,0.5,"Direct",0.75,1.960201,1.926,-0.034201,0.00117,NA
100,0.25,0.5,0.05,0.5,"ISDLT",0.25,0.86365,0.615,-0.24865,0.061827,NA
100,0.25,0.5,0.05,0.5,"ISDLT",0.5,1.33703,1.273,-0.06403,0.0041,NA
100,0.25,0.5,0.05,0.5,"ISDLT",0.75,1.960201,2.069,0.108799,0.011837,NA
100,0.25,0.5,0.25,-0.5,"Direct",0.25,0.86365,0.998,0.13435,0.01805,NA
100,0.25,0.5,0.25,-0.5,"Direct",0.5,1.33703,1.65,0.31297,0.09795,NA
100,0.25,0.5,0.25,-0.5,"Direct",0.75,1.960201,1.979,0.018799,0.000353,NA
100,0.25,0.5,0.25,-0.5,"ISDLT",0.25,0.86365,1.016,0.15235,0.023211,NA
100,0.25,0.5,0.25,-0.5,"ISDLT",0.5,1.33703,1.481,0.14397,0.020727,NA
100,0.25,0.5,0.25,-0.5,"ISDLT",0.75,1.960201,1.935,-0.025201,0.000635,NA
100,0.25,0.5,0.25,0,"Direct",0.25,0.86365,0.838,-0.02565,0.000658,NA
100,0.25,0.5,0.25,0,"Direct",0.5,1.33703,1.303,-0.03403,0.001158,NA
100,0.25,0.5,0.25,0,"Direct",0.75,1.960201,2.01,0.049799,0.00248,NA
100,0.25,0.5,0.25,0,"ISDLT",0.25,0.86365,0.81,-0.05365,0.002878,NA
100,0.25,0.5,0.25,0,"ISDLT",0.5,1.33703,1.449,0.11197,0.012537,NA
100,0.25,0.5,0.25,0,"ISDLT",0.75,1.960201,2.265,0.304799,0.092902,NA
100,0.25,0.5,0.25,0.5,"Direct",0.25,0.86365,0.819,-0.04465,0.001994,NA
100,0.25,0.5,0.25,0.5,"Direct",0.5,1.33703,1.227,-0.11003,0.012107,NA
100,0.25,0.5,0.25,0.5,"Direct",0.75,1.960201,1.923,-0.037201,0.001384,NA
100,0.25,0.5,0.25,0.5,"ISDLT",0.25,0.86365,0.697,-0.16665,0.027772,NA
100,0.25,0.5,0.25,0.5,"ISDLT",0.5,1.33703,1.413,0.07597,0.005771,NA
100,0.25,0.5,0.25,0.5,"ISDLT",0.75,1.960201,2.336,0.375799,0.141225,NA
100,0.25,0.5,0.5,-0.5,"Direct",0.25,0.86365,1.043,0.17935,0.032167,NA
100,0.25,0.5,0.5,-0.5,"Direct",0.5,1.33703,1.435,0.09797,0.009598,NA
100,0.25,0.5,0.5,-0.5,"Direct",0.75,1.960201,2.197,0.236799,0.056074,NA
100,0.25,0.5,0.5,-0.5,"ISDLT",0.25,0.86365,0.898,0.03435,0.00118,NA
100,0.25,0.5,0.5,-0.5,"ISDLT",0.5,1.33703,1.54,0.20297,0.041197,NA
100,0.25,0.5,0.5,-0.5,"ISDLT",0.75,1.960201,2.268,0.307799,0.09474,NA
100,0.25,0.5,0.5,0,"Direct",0.25,0.86365,0.964,0.10035,0.01007,NA
100,0.25,0.5,0.5,0,"Direct",0.5,1.33703,1.386,0.04897,0.002398,NA
100,0.25,0.5,0.5,0,"Direct",0.75,1.960201,2.008,0.047799,0.002285,NA
100,0.25,0.5,0.5,0,"ISDLT",0.25,0.86365,0.892,0.02835,0.000804,NA
100,0.25,0.5,0.5,0,"ISDLT",0.5,1.33703,1.61,0.27297,0.074513,NA
100,0.25,0.5,0.5,0,"ISDLT",0.75,1.960201,2.304,0.343799,0.118198,NA
100,0.25,0.5,0.5,0.5,"Direct",0.25,0.86365,0.743,-0.12065,0.014556,NA
100,0.25,0.5,0.5,0.5,"Direct",0.5,1.33703,1.131,-0.20603,0.042448,NA
100,0.25,0.5,0.5,0.5,"Direct",0.75,1.960201,1.744,-0.216201,0.046743,NA
100,0.25,0.5,0.5,0.5,"ISDLT",0.25,0.86365,0.609,-0.25465,0.064846,NA
100,0.25,0.5,0.5,0.5,"ISDLT",0.5,1.33703,1.313,-0.02403,0.000577,NA
100,0.25,0.5,0.5,0.5,"ISDLT",0.75,1.960201,2.318,0.357799,0.12802,NA
100,0.5,0.05,0.05,-0.5,"Direct",0.25,0.86365,0.814,-0.04965,0.002465,NA
100,0.5,0.05,0.05,-0.5,"Direct",0.5,1.33703,1.307,-0.03003,0.000902,NA
100,0.5,0.05,0.05,-0.5,"Direct",0.75,1.960201,1.715,-0.245201,0.060124,NA
100,0.5,0.05,0.05,-0.5,"ISDLT",0.25,0.86365,0.871,0.00735,5.4e-05,NA
100,0.5,0.05,0.05,-0.5,"ISDLT",0.5,1.33703,1.315,-0.02203,0.000485,NA
100,0.5,0.05,0.05,-0.5,"ISDLT",0.75,1.960201,1.713,-0.247201,0.061108,NA
100,0.5,0.05,0.05,0,"Direct",0.25,0.86365,0.949,0.08535,0.007285,NA
100,0.5,0.05,0.05,0,"Direct",0.5,1.33703,1.323,-0.01403,0.000197,NA
100,0.5,0.05,0.05,0,"Direct",0.75,1.960201,1.948,-0.012201,0.000149,NA
100,0.5,0.05,0.05,0,"ISDLT",0.25,0.86365,0.978,0.11435,0.013076,NA
100,0.5,0.05,0.05,0,"ISDLT",0.5,1.33703,1.369,0.03197,0.001022,NA
100,0.5,0.05,0.05,0,"ISDLT",0.75,1.960201,2.069,0.108799,0.011837,NA
100,0.5,0.05,0.05,0.5,"Direct",0.25,0.86365,0.692,-0.17165,0.029464,NA
100,0.5,0.05,0.05,0.5,"Direct",0.5,1.33703,1.189,-0.14803,0.021913,NA
100,0.5,0.05,0.05,0.5,"Direct",0.75,1.960201,1.822,-0.138201,0.0191,NA
100,0.5,0.05,0.05,0.5,"ISDLT",0.25,0.86365,0.69,-0.17365,0.030154,NA
100,0.5,0.05,0.05,0.5,"ISDLT",0.5,1.33703,1.222,-0.11503,0.013232,NA
100,0.5,0.05,0.05,0.5,"ISDLT",0.75,1.960201,1.863,-0.097201,0.009448,NA
100,0.5,0.05,0.25,-0.5,"Direct",0.25,0.86365,0.79,-0.07365,0.005424,NA
100,0.5,0.05,0.25,-0.5,"Direct",0.5,1.33703,1.259,-0.07803,0.006089,NA
100,0.5,0.05,0.25,-0.5,"Direct",0.75,1.960201,2.294,0.333799,0.111422,NA
100,0.5,0.05,0.25,-0.5,"ISDLT",0.25,0.86365,0.853,-0.01065,0.000113,NA
100,0.5,0.05,0.25,-0.5,"ISDLT",0.5,1.33703,1.375,0.03797,0.001442,NA
100,0.5,0.05,0.25,-0.5,"ISDLT",0.75,1.960201,2.231,0.270799,0.073332,NA
100,0.5,0.05,0.25,0,"Direct",0.25,0.86365,0.826,-0.03765,0.001418,NA
100,0.5,0.05,0.25,0,"Direct",0.5,1.33703,1.163,-0.17403,0.030286,NA
100,0.5,0.05,0.25,0,"Direct",0.75,1.960201,2.008,0.047799,0.002285,NA
100,0.5,0.05,0.25,0,"ISDLT",0.25,0.86365,0.826,-0.03765,0.001418,NA
100,0.5,0.05,0.25,0,"ISDLT",0.5,1.33703,1.207,-0.13003,0.016908,NA
100,0.5,0.05,0.25,0,"ISDLT",0.75,1.960201,2.138,0.177799,0.031612,NA
100,0.5,0.05,0.25,0.5,"Direct",0.25,0.86365,0.82,-0.04365,0.001905,NA
100,0.5,0.05,0.25,0.5,"Direct",0.5,1.33703,1.161,-0.17603,0.030987,NA
100,0.5,0.05,0.25,0.5,"Direct",0.75,1.960201,1.982,0.021799,0.000475,NA
100,0.5,0.05,0.25,0.5,"ISDLT",0.25,0.86365,0.799,-0.06465,0.00418,NA
100,0.5,0.05,0.25,0.5,"ISDLT",0.5,1.33703,1.331,-0.00603,3.6e-05,NA
100,0.5,0.05,0.25,0.5,"ISDLT",0.75,1.960201,2.17,0.209799,0.044016,NA
100,0.5,0.05,0.5,-0.5,"Direct",0.25,0.86365,1.047,0.18335,0.033617,NA
100,0.5,0.05,0.5,-0.5,"Direct",0.5,1.33703,1.36,0.02297,0.000528,NA
100,0.5,0.05,0.5,-0.5,"Direct",0.75,1.960201,1.93,-0.030201,0.000912,NA
100,0.5,0.05,0.5,-0.5,"ISDLT",0.25,0.86365,0.964,0.10035,0.01007,NA
100,0.5,0.05,0.5,-0.5,"ISDLT",0.5,1.33703,1.327,-0.01003,0.000101,NA
100,0.5,0.05,0.5,-0.5,"ISDLT",0.75,1.960201,1.787,-0.173201,0.029999,NA
100,0.5,0.05,0.5,0,"Direct",0.25,0.86365,0.885,0.02135,0.000456,NA
100,0.5,0.05,0.5,0,"Direct",0.5,1.33703,1.271,-0.06603,0.00436,NA
100,0.5,0.05,0.5,0,"Direct",0.75,1.960201,2.051,0.090799,0.008244,NA
100,0.5,0.05,0.5,0,"ISDLT",0.25,0.86365,0.942,0.07835,0.006139,NA
100,0.5,0.05,0.5,0,"ISDLT",0.5,1.33703,1.46,0.12297,0.015122,NA
100,0.5,0.05,0.5,0,"ISDLT",0.75,1.960201,2.199,0.238799,0.057025,NA
100,0.5,0.05,0.5,0.5,"Direct",0.25,0.86365,0.929,0.06535,0.004271,NA
100,0.5,0.05,0.5,0.5,"Direct",0.5,1.33703,1.306,-0.03103,0.000963,NA
100,0.5,0.05,0.5,0.5,"Direct",0.75,1.960201,1.86,-0.100201,0.01004,NA
100,0.5,0.05,0.5,0.5,"ISDLT",0.25,0.86365,0.755,-0.10865,0.011805,NA
100,0.5,0.05,0.5,0.5,"ISDLT",0.5,1.33703,1.302,-0.03503,0.001227,NA
100,0.5,0.05,0.5,0.5,"ISDLT",0.75,1.960201,2.092,0.131799,0.017371,NA
100,0.5,0.1,0.05,-0.5,"Direct",0.25,0.86365,0.883,0.01935,0.000374,NA
100,0.5,0.1,0.05,-0.5,"Direct",0.5,1.33703,1.402,0.06497,0.004221,NA
100,0.5,0.1,0.05,-0.5,"Direct",0.75,1.960201,1.884,-0.076201,0.005807,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.25,0.86365,0.931,0.06735,0.004536,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.5,1.33703,1.402,0.06497,0.004221,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.75,1.960201,1.919,-0.041201,0.001698,NA
100,0.5,0.1,0.05,0,"Direct",0.25,0.86365,0.989,0.12535,0.015713,NA
100,0.5,0.1,0.05,0,"Direct",0.5,1.33703,1.33,-0.00703,4.9e-05,NA
100,0.5,0.1,0.05,0,"Direct",0.75,1.960201,1.951,-0.009201,8.5e-05,NA
100,0.5,0.1,0.05,0,"ISDLT",0.25,0.86365,1.022,0.15835,0.025075,NA
100,0.5,0.1,0.05,0,"ISDLT",0.5,1.33703,1.344,0.00697,4.9e-05,NA
100,0.5,0.1,0.05,0,"ISDLT",0.75,1.960201,1.998,0.037799,0.001429,NA
100,0.5,0.1,0.05,0.5,"Direct",0.25,0.86365,0.871,0.00735,5.4e-05,NA
100,0.5,0.1,0.05,0.5,"Direct",0.5,1.33703,1.288,-0.04903,0.002404,NA
100,0.5,0.1,0.05,0.5,"Direct",0.75,1.960201,1.948,-0.012201,0.000149,NA
100,0.5,0.1,0.05,0.5,"ISDLT",0.25,0.86365,0.855,-0.00865,7.5e-05,NA
100,0.5,0.1,0.05,0.5,"ISDLT",0.5,1.33703,1.355,0.01797,0.000323,NA
